sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,7.94,-6.62,-6.62,18.85,7.21,3,2,5.54,1.41,351,0.35,7.70,13.97,1.43,81.41
signal1-model12330-TSM-,0.16,-13.77,-9.46,6.19,0.17,3,3,3.88,0.06,470,0.25,0.51,4.52,0.04,63.24
signal1-model1ICICIBC-IBN-,8.42,-3.88,-0.67,20.89,8.13,2,2,4.96,1.66,266,0.32,8.06,14.51,1.70,83.94
signal1-model1TTMT-TTM-,12.24,-12.02,-3.50,30.12,12.23,2,3,6.71,1.76,290,0.43,10.50,21.46,1.83,85.07
signal1-model1HDFCB-HDB-,6.26,-4.82,-1.31,18.20,6.06,3,2,5.85,1.07,251,0.37,5.29,12.09,1.07,70.00
signal1-model12303-UMC-,3.78,-8.38,-5.29,24.29,3.83,3,2,6.25,0.63,470,0.40,2.35,10.38,0.61,56.83
signal1-model2INFO-INFY-,9.18,-6.52,-6.52,18.82,8.71,3,1,5.27,1.69,439,0.34,10.31,14.94,1.74,93.04
signal1-model22330-TSM-,1.63,-6.08,-5.91,7.69,1.56,3,1,3.18,0.52,514,0.20,1.64,5.18,0.51,73.97
signal1-model2ICICIBC-IBN-,8.36,-3.63,-2.18,28.56,8.36,2,1,5.26,1.55,168,0.34,7.41,15.36,1.59,88.78
signal1-model2TTMT-TTM-,14.98,-6.07,-6.07,39.05,14.90,2,1,7.22,1.97,123,0.46,13.31,24.93,2.08,95.15
signal1-model2HDFCB-HDB-,10.32,-4.77,-2.81,31.06,9.95,2,1,8.13,1.25,194,0.52,8.75,20.04,1.27,86.75
signal1-model22303-UMC-,8.29,-5.30,0.04,24.92,7.72,3,1,6.65,1.23,171,0.43,5.44,16.47,1.25,76.92
signal2-model1INFO-INFY-,6.26,-7.53,-7.53,17.29,5.76,3,1,5.02,1.23,361,0.32,6.71,12.44,1.25,79.19
signal2-model12330-TSM-,-0.34,-14.73,-7.51,4.67,-0.65,3,3,3.21,-0.09,506,0.21,-0.94,2.95,-0.11,59.35
signal2-model1ICICIBC-IBN-,8.21,-7.32,-6.69,21.72,7.87,2,2,5.06,1.59,456,0.32,7.69,14.67,1.62,82.55
signal2-model1TTMT-TTM-,10.11,-9.32,-7.78,30.00,10.07,2,2,6.90,1.43,330,0.44,8.47,20.51,1.46,80.41
signal2-model1HDFCB-HDB-,5.94,-4.82,-1.31,18.20,5.36,3,2,5.20,1.13,251,0.33,5.01,9.49,1.14,75.42
signal2-model12303-UMC-,1.25,-9.45,-6.07,12.77,1.00,3,2,5.47,0.25,1220,0.35,0.36,6.11,0.23,52.26
signal2-model2INFO-INFY-,6.58,-8.28,-8.28,17.53,6.09,3,1,4.96,1.31,448,0.32,6.53,13.04,1.33,83.12
signal2-model22330-TSM-,0.64,-10.35,-7.44,5.46,0.36,3,2,2.78,0.24,483,0.18,0.65,4.05,0.23,66.12
signal2-model2ICICIBC-IBN-,8.26,-7.13,-6.37,29.44,8.02,2,2,5.34,1.51,597,0.34,7.72,17.52,1.55,83.33
signal2-model2TTMT-TTM-,11.10,-10.80,-10.24,30.23,10.87,2,2,7.38,1.46,224,0.47,9.95,20.53,1.51,84.13
signal2-model2HDFCB-HDB-,8.44,-3.93,-2.95,31.06,7.56,2,1,7.47,1.12,243,0.48,6.87,14.03,1.13,83.46
signal2-model22303-UMC-,3.85,-5.45,-5.45,21.56,3.39,3,2,6.22,0.64,475,0.40,2.30,7.62,0.62,59.35
