x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S19分组结果-LR-全市场,17.64,-9.58,-6.73,50.66,17.86,16,12,7.29,2.27,272,0.47,14.56,42.85,2.42,55.86
S19分组结果-LR-中证500,15.00,-12.91,-11.07,74.40,14.76,13,14,9.31,1.55,120,0.60,11.18,34.34,1.61,54.18
S19分组结果-LR-沪深300,4.97,-19.17,-16.81,31.28,5.35,10,9,10.13,0.53,269,0.65,4.83,16.30,0.49,50.26
S19分组结果-LR-中证500-M2,20.66,-19.97,-18.91,61.71,23.95,17,8,9.44,2.04,88,0.60,21.98,49.18,2.19,55.94
S19分组结果-LR-沪深300-M2,9.13,-28.39,-24.89,54.31,10.35,10,10,11.32,0.83,88,0.72,9.73,35.94,0.81,52.13
S19分组结果-LR-中证500-M-2,15.71,-22.36,-18.65,53.80,17.36,13,9,9.36,1.61,118,0.60,14.73,45.04,1.68,53.02
S19分组结果-LR-沪深300-M-2,3.08,-26.44,-22.28,42.51,3.48,10,9,12.38,0.31,104,0.79,1.80,24.07,0.25,51.42
S19分组结果-RF-全市场,7.04,-4.14,-2.12,16.13,6.55,20,15,3.38,2.03,190,0.22,6.92,12.13,2.09,53.54
S19分组结果-RF-中证500,5.03,-11.53,-10.23,16.85,5.43,11,10,6.10,0.84,249,0.39,6.94,11.92,0.83,50.58
S19分组结果-RF-沪深300,1.36,-17.66,-12.78,19.59,2.02,11,9,7.56,0.22,123,0.48,0.88,9.84,0.18,50.45
S19分组结果-RF-中证500-M2,6.97,-10.32,-4.64,30.65,8.22,11,10,6.21,1.12,236,0.40,6.19,20.20,1.12,51.67
S19分组结果-RF-沪深300-M2,7.15,-12.69,-5.61,23.37,6.65,9,9,7.41,0.97,401,0.47,4.93,17.45,0.96,52.31
S19分组结果-RF-中证500-M-2,9.69,-8.61,-5.16,33.60,9.53,12,18,6.22,1.52,397,0.40,5.46,24.90,1.56,53.47
S19分组结果-RF-沪深300-M-2,-3.14,-26.82,-23.55,11.60,-1.77,9,9,7.41,-0.39,5,0.47,-1.59,6.71,-0.42,49.23
S19分组结果-LogiR-全市场,19.35,-7.11,-3.70,48.87,19.56,17,10,6.93,2.59,244,0.44,16.09,41.82,2.79,56.63
S19分组结果-LogiR-中证500,16.95,-10.45,-1.84,42.04,16.47,12,8,9.47,1.70,119,0.61,13.47,32.30,1.79,53.93
