x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
apb-1d-全市场,20.10,-7.44,3.21,34.61,20.57,14,9,4.76,3.88,76,0.30,21.32,28.75,4.22,61.15
apb-1d-中证500,20.57,-11.37,-7.81,39.91,20.64,14,10,6.43,2.94,312,0.41,22.31,31.59,3.20,58.70
apb-1d-沪深300,11.72,-15.79,-13.39,32.43,11.60,11,9,7.24,1.57,484,0.46,11.69,21.69,1.62,56.03
apb-5d-全市场,23.64,-6.39,5.32,49.64,24.04,17,11,6.68,3.21,83,0.43,23.28,33.92,3.54,57.20
apb-5d-中证500,16.26,-12.41,-12.15,50.92,15.77,11,10,7.84,1.96,350,0.50,15.70,29.60,2.07,54.01
apb-5d-沪深300,12.46,-13.86,-11.10,36.29,13.87,13,8,8.22,1.47,212,0.53,15.54,21.53,1.52,52.78
apb-1m-全市场,17.57,-7.37,0.52,35.16,18.65,13,9,6.01,2.72,102,0.39,18.54,27.87,2.92,57.14
apb-1m-中证500,9.39,-17.11,-11.16,42.28,9.78,17,10,7.38,1.25,396,0.47,7.10,24.98,1.27,53.61
apb-1m-沪深300,11.79,-8.43,-6.86,43.54,12.41,11,11,7.68,1.49,241,0.49,11.68,20.17,1.54,53.17
