x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
买卖单Spread因子-全市场,4.85,-23.89,-21.08,26.60,4.57,12,10,9.02,0.57,1190,0.58,5.25,17.95,0.54,53.59
买卖单Spread因子-中证500,9.58,-15.19,-11.97,34.39,9.46,12,13,9.45,1.02,361,0.60,8.11,23.23,1.01,53.85
买卖单Spread因子-沪深300,11.98,-31.34,-17.54,45.17,12.11,12,8,13.58,0.90,455,0.87,10.45,31.59,0.88,54.20
pareto买-全市场,-1.93,-36.02,-30.90,56.44,2.01,19,12,13.70,-0.07,1014,0.88,-1.44,26.90,-0.14,46.38
pareto买-中证500,-2.97,-47.84,-35.44,40.29,-0.05,13,15,11.21,-0.21,362,0.72,-0.41,24.52,-0.27,47.86
pareto买-沪深300,-2.64,-50.89,-36.10,64.65,2.87,11,11,14.75,-0.11,631,0.94,2.76,29.50,-0.18,47.70
pareto买_adj-全市场,-2.12,-34.97,-29.94,56.42,1.61,17,12,13.90,-0.08,1075,0.89,-1.27,27.44,-0.15,46.38
pareto买_adj-中证500,-1.78,-44.86,-34.88,40.93,0.66,11,15,11.24,-0.10,382,0.72,-0.05,23.90,-0.16,48.70
pareto买_adj-沪深300,-0.88,-49.83,-36.06,66.79,4.67,13,11,14.56,0.01,580,0.93,4.56,31.30,-0.06,47.86
pareto卖-全市场,-1.09,-34.65,-30.16,53.15,2.42,17,14,13.51,-0.01,615,0.87,-0.22,28.63,-0.08,47.22
pareto卖-中证500,-1.85,-44.58,-34.45,34.70,1.01,11,11,11.31,-0.11,367,0.72,-0.02,21.01,-0.16,46.96
pareto卖-沪深300,-0.18,-51.69,-37.48,68.50,5.84,12,11,14.64,0.06,551,0.94,5.48,33.46,-0.01,47.96
pareto卖_adj-全市场,-1.10,-33.64,-28.61,52.24,2.12,17,14,13.66,-0.01,618,0.87,0.17,29.73,-0.08,46.85
pareto卖_adj-中证500,-0.59,-44.46,-34.47,36.23,2.11,11,11,11.13,0.00,340,0.71,1.50,22.16,-0.05,48.44
pareto卖_adj-沪深300,0.83,-50.24,-36.32,68.28,6.65,11,12,14.64,0.13,516,0.94,6.23,34.14,0.06,47.91
大买1-全市场,-5.70,-47.61,-27.70,21.06,-6.32,15,13,9.81,-0.55,42,0.63,-5.27,6.54,-0.58,46.27
大买1-中证500,3.80,-25.82,-18.33,36.50,3.34,13,14,9.29,0.45,473,0.59,2.13,23.22,0.41,50.40
大买1-沪深300,7.57,-31.40,-19.89,41.76,8.30,12,11,12.58,0.64,586,0.81,7.00,26.90,0.60,51.88
大卖1-全市场,3.09,-21.45,-20.39,39.49,4.78,19,9,10.76,0.34,868,0.69,3.76,23.49,0.29,48.28
大卖1-中证500,7.84,-32.35,-29.19,43.36,10.48,12,8,10.60,0.77,176,0.68,11.22,32.80,0.74,51.08
大卖1-沪深300,5.88,-41.16,-33.74,46.05,9.91,10,9,12.78,0.51,251,0.82,13.39,26.21,0.46,49.97
大买卖差1-全市场,-5.19,-50.29,-18.88,23.00,-6.08,10,14,8.34,-0.60,65,0.53,-8.43,11.27,-0.62,48.28
大买卖差1-中证500,-3.27,-46.24,-29.64,28.24,-4.06,11,9,10.82,-0.25,41,0.69,-3.36,10.95,-0.30,52.25
大买卖差1-沪深300,2.55,-45.56,-37.52,31.99,1.00,13,12,13.60,0.25,331,0.87,0.18,20.95,0.19,51.24
大买卖和1-全市场,-1.48,-33.37,-22.97,34.33,-0.72,17,14,12.30,-0.06,44,0.79,-2.58,20.61,-0.12,46.11
大买卖和1-中证500,5.71,-34.51,-29.24,29.14,6.64,11,9,9.75,0.62,280,0.62,9.47,21.75,0.59,51.77
大买卖和1-沪深300,11.76,-38.06,-30.79,46.04,14.50,14,12,11.84,1.00,166,0.76,18.89,35.41,0.99,51.14
大买2-全市场,-8.54,-57.98,-36.95,26.55,-8.25,11,12,10.69,-0.78,91,0.68,-5.56,5.99,-0.80,44.05
大买2-中证500,3.39,-20.12,-18.03,30.95,2.91,13,9,8.94,0.42,530,0.57,1.26,20.37,0.38,52.67
大买2-沪深300,13.28,-23.51,-20.58,55.23,13.87,10,11,12.92,1.03,575,0.83,11.03,36.95,1.03,51.77
大卖2-全市场,-4.88,-52.38,-34.70,37.40,-3.02,16,14,11.00,-0.40,1,0.70,-3.90,19.29,-0.44,45.06
大卖2-中证500,8.37,-23.96,-21.78,31.84,9.57,12,10,8.85,0.95,330,0.57,11.71,22.32,0.95,51.08
