x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S29回测结果-S29f01-全市场,14.83,-51.09,-42.15,396.18,23.00,13,10,30.36,0.61,1217,1.94,4.69,81.23,0.49,54.83
S29回测结果-S29f01-中证500,5.82,-61.31,-42.98,240.51,11.15,11,8,30.63,0.34,932,1.96,2.54,52.05,0.19,54.21
S29回测结果-S29f01-沪深300,6.90,-54.04,-38.83,208.28,8.57,10,11,26.88,0.38,1361,1.72,2.90,42.91,0.26,51.83
S29回测结果-S29f02-全市场,31.61,-52.14,-35.76,745.56,51.44,14,7,33.49,0.99,882,2.14,12.32,166.21,0.94,55.07
S29回测结果-S29f02-中证500,23.15,-57.62,-40.20,550.35,42.10,11,10,36.16,0.76,926,2.32,21.18,104.06,0.64,54.04
S29回测结果-S29f02-沪深300,24.23,-62.18,-46.06,503.63,32.63,16,10,33.40,0.82,714,2.14,10.52,99.97,0.73,51.67
S29回测结果-S29f03-全市场,24.22,-49.53,-42.42,522.91,37.91,15,9,29.94,0.88,1188,1.92,11.56,130.42,0.81,55.78
S29回测结果-S29f03-中证500,9.22,-56.41,-43.75,271.15,14.84,13,9,30.15,0.44,948,1.93,7.16,55.66,0.31,54.47
S29回测结果-S29f03-沪深300,7.83,-54.48,-38.24,235.13,10.20,12,10,26.41,0.42,1361,1.69,4.05,41.37,0.30,51.97
