x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S34增强效果-上证综指-增强前,6.06,-52.30,-45.16,149.98,8.43,11,9,21.72,0.38,422,1.39,4.28,46.07,0.28,53.77
S34增强效果-上证综指-增强前,14.97,-40.19,-34.01,174.93,17.70,10,7,22.67,0.73,155,1.45,10.55,60.16,0.66,54.92
S34增强效果-上证综指-增强后-增强前,11.91,-17.07,-9.19,47.37,12.30,10,7,10.71,1.11,285,0.69,13.08,24.95,1.11,57.68
S34增强效果-上证50-增强前,9.05,-44.70,-38.51,132.32,11.57,19,9,23.59,0.49,440,1.51,7.50,46.17,0.38,50.62
S34增强效果-上证50-增强前,11.52,-42.77,-34.42,141.57,14.33,13,9,23.26,0.59,1116,1.49,9.66,50.66,0.50,50.97
S34增强效果-上证50-增强后-增强前,4.30,-5.75,-3.97,12.84,4.43,10,7,4.75,0.91,357,0.30,5.01,8.18,0.90,52.90
S34增强效果-中证500-增强前,8.73,-65.20,-50.23,197.62,12.13,9,7,26.57,0.45,113,1.70,5.30,45.44,0.33,54.69
S34增强效果-中证500-增强前,16.01,-58.02,-41.93,241.57,20.70,10,7,28.15,0.67,104,1.80,12.03,64.98,0.57,55.33
S34增强效果-中证500-增强后-增强前,11.26,-27.74,-18.14,77.67,12.38,11,7,14.49,0.81,506,0.93,9.38,33.45,0.78,56.08
S34增强效果-沪深300-增强前,9.28,-46.70,-42.53,147.77,11.58,12,9,23.02,0.50,436,1.47,8.39,46.17,0.40,52.46
S34增强效果-沪深300-增强前,15.41,-41.87,-36.67,157.02,17.55,12,9,23.45,0.73,1121,1.50,13.49,52.74,0.66,53.20
S34增强效果-沪深300-增强后-增强前,9.93,-11.56,-9.53,25.80,9.34,11,8,7.83,1.25,284,0.50,9.87,15.77,1.27,55.58
