sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
连豆一2101,2.99,-56.14,-31.33,75.39,2.81,14,8,17.16,0.26,911,1.10,-1.20,31.83,0.17,51.19,2020-11-16
连豆一2101-择时,-2.63,-76.48,-38.56,89.97,-0.93,9,9,17.16,-0.07,787,1.10,-2.46,23.61,-0.15,48.67,做多
沪白银2012,-5.25,-68.70,-43.37,46.93,-5.72,11,8,23.60,-0.11,72,1.51,-8.89,17.31,-0.22,49.24,2020-11-16
沪白银2012-择时,-0.28,-59.30,-29.73,61.71,-2.55,9,9,23.60,0.11,105,1.51,-6.34,22.06,-0.01,48.20,做空
沪铝2012,-2.40,-69.92,-44.32,52.46,-2.28,9,10,14.89,-0.09,477,0.95,-4.54,15.73,-0.16,49.93,2020-11-16
沪铝2012-择时,6.09,-30.34,-24.96,51.42,6.51,10,10,14.89,0.47,982,0.95,4.65,25.91,0.41,50.83,做多
郑苹果101,0.85,-43.01,-34.78,59.28,8.82,6,10,25.64,0.16,148,1.64,10.05,41.25,0.03,47.02,2020-11-16
郑苹果101-择时,19.39,-29.01,-8.88,42.55,17.03,10,8,25.60,0.82,263,1.64,15.47,29.98,0.76,54.57,做空
沪黄金2012,2.34,-48.30,-31.91,62.61,4.74,9,9,17.28,0.22,403,1.11,1.64,25.86,0.14,51.64,2020-11-16
沪黄金2012-择时,2.68,-25.54,-17.78,48.35,4.68,10,11,17.28,0.24,1054,1.11,3.23,21.33,0.16,49.92,做空
连豆二2102,4.62,-35.17,-32.38,60.07,5.40,9,11,17.68,0.34,683,1.13,2.94,28.82,0.26,51.06,2020-11-16
连豆二2102-择时,-1.70,-52.52,-27.13,42.12,-0.55,11,8,17.69,-0.01,522,1.13,-3.19,18.09,-0.10,50.48,做空
连胶合板2012,17.00,-69.50,-68.49,321.66,23.95,9,7,38.53,0.61,901,2.47,17.88,98.93,0.44,52.32,2020-11-16
连胶合板2012-择时,41.85,-45.20,-31.09,503.47,41.49,7,8,38.46,1.10,738,2.46,17.02,95.83,1.09,51.23,做多
沪石油沥青2012,-16.55,-76.12,-55.07,45.82,-11.85,7,9,27.83,-0.51,1,1.78,-9.75,19.43,-0.59,50.03,2020-11-16
沪石油沥青2012-择时,13.46,-42.63,-31.91,94.94,19.65,9,8,27.83,0.59,855,1.78,16.29,58.59,0.48,48.40,做多
连玉米2101,2.67,-33.27,-31.23,31.46,1.96,11,8,11.00,0.29,2659,0.70,2.28,14.00,0.24,50.54,2020-11-16
连玉米2101-择时,6.46,-18.00,-16.17,42.11,6.07,9,10,10.99,0.62,687,0.70,4.46,18.55,0.59,49.46,做空
郑棉花101,-3.91,-68.37,-39.88,116.95,-1.25,8,9,17.10,-0.15,1563,1.09,-7.99,34.81,-0.23,49.47,2020-11-16
郑棉花101-择时,8.21,-43.06,-36.72,96.30,10.26,9,11,17.09,0.55,773,1.09,7.49,35.78,0.48,50.53,做空
郑红枣101,3.84,-22.21,-17.43,18.09,-7.11,6,7,19.43,0.29,53,1.24,-9.38,3.25,0.20,49.72,2020-11-16
郑红枣101-择时,-17.43,-28.62,-26.95,-5.70,-17.84,4,6,19.40,-0.89,13,1.24,-17.97,-11.27,-0.90,41.85,做多
连玉米淀粉2101,0.54,-32.09,-25.96,22.32,-1.01,6,7,14.40,0.11,29,0.92,-0.74,12.29,0.04,49.67,2020-11-16
连玉米淀粉2101-择时,-2.40,-39.92,-21.97,25.01,-4.43,7,8,14.40,-0.10,128,0.92,-5.79,9.93,-0.17,48.88,做空
沪铜2012,11.29,-60.61,-48.08,197.02,15.83,8,7,22.20,0.59,641,1.42,3.96,74.23,0.51,52.62,2020-11-16
沪铜2012-择时,11.68,-43.76,-25.19,175.89,14.86,8,10,22.20,0.61,378,1.42,6.55,48.10,0.53,49.55,做多
郑棉纱101,-7.37,-38.11,-28.62,3.76,-10.76,8,6,16.73,-0.37,93,1.07,-11.17,1.09,-0.44,50.34,2020-11-16
郑棉纱101-择时,-3.68,-21.07,-13.03,23.78,-0.04,6,12,16.73,-0.14,588,1.07,-1.71,10.44,-0.22,44.70,做空
连苯乙烯2101,-17.81,-46.11,-42.57,-7.11,-27.69,7,11,29.59,-0.52,NaN,1.89,-29.31,-12.19,-0.60,49.06,2020-11-16
连苯乙烯2101-择时,72.10,-29.12,30.57,59.09,42.71,11,5,29.36,2.00,18,1.88,39.98,54.14,2.46,54.31,做多
连乙二醇2101,-23.28,-46.08,-36.82,-0.27,-17.67,6,9,24.18,-0.98,NaN,1.55,-17.32,-8.22,-0.96,48.91,2020-11-16
连乙二醇2101-择时,13.69,-37.99,-9.39,68.64,12.62,9,5,24.21,0.65,87,1.55,11.65,30.48,0.57,49.78,做空
连纤维板2101,13.41,-72.25,-62.58,245.49,38.22,12,8,35.47,0.53,338,2.27,18.31,128.21,0.38,49.80,2020-11-16
连纤维板2101-择时,27.77,-47.87,-42.81,336.40,49.09,12,11,35.43,0.87,527,2.27,16.94,170.56,0.78,52.57,做多
郑玻璃101,9.18,-39.13,-29.01,56.47,8.75,8,10,19.92,0.54,913,1.27,8.09,33.30,0.46,51.77,2020-11-16
郑玻璃101-择时,-5.67,-66.12,-37.30,53.59,-8.83,8,8,19.93,-0.19,272,1.28,-11.03,8.78,-0.28,47.04,做多
沪燃油2101,-7.55,-91.02,-66.55,131.85,-1.76,10,9,26.95,-0.16,387,1.73,-5.63,44.88,-0.28,51.76,2020-11-16
沪燃油2101-择时,6.23,-72.98,-69.35,149.25,12.00,10,10,26.94,0.36,1594,1.72,8.18,53.96,0.23,49.62,做多
沪热轧卷板2101,13.48,-50.15,-41.21,157.85,20.73,12,9,23.85,0.65,627,1.53,14.79,71.39,0.57,51.65,2020-11-16
沪热轧卷板2101-择时,13.07,-50.38,-45.23,127.63,17.40,10,10,23.85,0.63,185,1.53,10.73,79.18,0.55,50.63,做多
连铁矿石2101,15.21,-62.11,-49.83,177.86,26.64,9,8,32.11,0.60,751,2.06,25.86,85.01,0.47,51.03,2020-11-16
连铁矿石2101-择时,6.73,-52.93,-49.98,113.35,12.87,9,12,32.12,0.36,337,2.06,9.47,51.14,0.21,48.37,做多
中证2012,8.12,-51.03,-38.21,67.20,8.23,8,6,33.31,0.40,1234,2.13,6.70,39.18,0.24,52.98,2020-11-16
中证2012-择时,-5.46,-60.91,-50.15,48.96,-5.91,8,8,33.32,-0.00,13,2.13,-8.78,16.05,-0.16,48.98,做多
沪深2012,5.12,-45.89,-33.97,115.08,7.11,9,9,24.85,0.33,1019,1.59,3.64,31.55,0.21,50.27,2020-11-16
沪深2012-择时,3.43,-54.10,-45.21,86.12,3.82,7,10,24.85,0.26,356,1.59,3.05,22.84,0.14,49.03,做多
上证2012,3.96,-44.52,-30.87,42.17,8.27,9,7,25.45,0.28,525,1.63,9.26,32.76,0.16,52.11,2020-11-16
上证2012-择时,-6.82,-40.47,-35.93,34.07,1.33,7,10,25.45,-0.15,12,1.63,1.12,23.43,-0.27,48.51,做多
连焦炭2101,3.20,-81.91,-46.14,264.10,13.39,16,9,27.13,0.25,1769,1.74,-7.35,115.42,0.12,49.64,2020-11-16
连焦炭2101-择时,25.92,-53.46,-35.49,260.76,38.83,16,14,27.08,0.99,476,1.73,30.03,121.60,0.96,50.36,做多
连鸡蛋2101,-11.04,-64.55,-54.13,29.76,-7.55,10,9,20.23,-0.48,69,1.29,-6.95,14.68,-0.55,49.22,2020-11-16
连鸡蛋2101-择时,0.95,-46.89,-36.35,46.61,-0.16,10,10,20.24,0.15,174,1.30,-0.45,19.76,0.05,48.68,做空
连焦煤2101,7.86,-60.38,-43.32,189.13,16.83,7,7,27.21,0.41,878,1.74,8.54,86.16,0.29,50.50,2020-11-16
连焦煤2101-择时,-2.95,-60.23,-36.77,91.09,-0.96,7,10,27.22,0.03,646,1.74,-11.31,47.12,-0.11,48.38,做多
郑粳稻101,-5.61,-36.20,-23.35,18.00,-5.37,6,7,21.81,-0.16,60,1.40,-5.87,9.77,-0.26,46.07,2020-11-16
郑粳稻101-择时,-14.70,-48.41,-46.54,18.71,-15.30,7,10,21.79,-0.62,4,1.40,-13.04,12.84,-0.67,47.58,做空
连聚乙烯2101,-0.41,-63.67,-55.50,102.65,0.03,9,13,21.87,0.09,54,1.40,0.46,21.29,-0.02,50.78,2020-11-16
连聚乙烯2101-择时,7.01,-50.73,-28.78,175.45,11.89,13,11,21.86,0.42,349,1.40,2.62,46.21,0.32,50.11,做多
郑晚籼稻011,-5.30,-34.69,-27.86,17.06,-14.88,5,9,22.61,-0.13,97,1.45,-18.15,-0.78,-0.23,46.80,2020-11-04
郑晚籼稻011-择时,-15.45,-56.42,-54.12,32.10,-20.22,6,6,22.59,-0.63,149,1.45,-27.32,10.39,-0.68,48.65,做多
连豆粕2105,6.52,-45.60,-27.65,102.62,9.00,9,8,20.38,0.41,1030,1.30,6.38,31.65,0.32,50.99,2020-11-16
连豆粕2105-择时,11.27,-39.72,-32.35,114.77,12.87,9,9,20.37,0.63,738,1.30,7.73,48.79,0.55,50.02,做多
郑甲醇101,-6.10,-60.26,-42.32,58.18,-4.09,8,11,22.43,-0.17,1137,1.44,-6.90,28.62,-0.27,48.73,2020-11-16
郑甲醇101-择时,5.75,-44.72,-39.15,56.70,6.66,11,9,22.42,0.36,1230,1.44,7.15,29.98,0.26,48.78,做多
沪镍2102,-0.89,-43.98,-38.28,53.28,3.60,7,6,24.63,0.09,1056,1.58,1.57,24.93,-0.04,52.09,2020-11-16
沪镍2102-择时,4.25,-26.85,-22.48,36.36,5.25,7,8,24.62,0.29,469,1.58,3.80,24.15,0.17,49.48,做多
20号胶2101,0.78,-30.21,-12.08,14.41,-4.11,5,8,26.65,0.16,47,1.71,-4.62,2.28,0.03,50.69,2020-11-16
20号胶2101-择时,-14.80,-32.14,-20.38,-3.92,-13.20,7,9,26.64,-0.47,34,1.71,-13.01,-8.08,-0.56,47.22,做多
郑菜油101,0.19,-64.86,-52.33,55.23,-1.98,8,10,18.26,0.10,35,1.17,-2.97,19.24,0.01,50.09,2020-11-16
郑菜油101-择时,4.37,-47.37,-30.70,99.38,3.12,8,10,18.26,0.33,111,1.17,1.03,21.27,0.24,49.78,做多
连棕油2101,-5.83,-81.00,-61.73,49.24,-6.08,13,9,22.02,-0.16,29,1.41,-10.78,26.01,-0.26,50.36,2020-11-16
连棕油2101-择时,11.74,-34.12,-27.83,111.89,13.17,11,12,22.01,0.61,865,1.41,8.02,51.36,0.53,50.16,做多
沪铅2012,-2.48,-46.32,-23.81,82.80,-0.25,11,10,17.36,-0.06,1374,1.11,-4.97,23.21,-0.14,49.29,2020-11-16
沪铅2012-择时,0.77,-37.54,-27.20,58.78,1.69,8,8,17.36,0.13,798,1.11,-0.02,22.64,0.04,49.61,做多
郑普麦107,-9.89,-76.61,-36.80,25.28,-7.41,7,9,16.67,-0.54,NaN,1.07,-6.71,7.71,-0.59,48.22,2020-11-04
