sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
上证综指,4.09,-71.98,-71.12,243.93,9.68,11,9,24.21,0.29,1331,1.55,-2.40,64.49,0.17,53.02,2020-11-02
上证综指-择时,20.19,-32.32,-22.48,202.09,25.00,10,12,24.18,0.88,504,1.55,15.44,67.62,0.84,53.42,做空
上证A股,4.03,-71.96,-71.10,243.73,9.61,11,9,24.21,0.28,1331,1.55,-2.40,64.37,0.17,52.98,2020-11-02
上证A股-择时,19.76,-32.34,-22.49,202.51,24.59,10,12,24.18,0.87,504,1.55,15.03,67.47,0.82,53.18,做空
上证B股,9.37,-78.58,-77.21,429.65,21.39,15,9,30.40,0.45,1822,1.95,-3.49,112.81,0.31,52.48,2020-11-02
上证B股-择时,34.20,-33.02,-30.23,457.78,45.32,15,10,30.33,1.12,929,1.94,20.89,134.19,1.13,53.63,做空
上证工业,4.70,-75.86,-74.09,301.59,11.25,14,8,24.95,0.31,1333,1.60,-1.81,64.86,0.19,52.87,2020-11-02
上证工业-择时,22.19,-31.59,-27.10,176.42,27.11,14,12,24.91,0.93,372,1.59,16.09,86.39,0.89,53.33,做空
上证商业,4.75,-74.81,-63.08,229.46,11.82,17,10,28.08,0.31,1740,1.80,-5.68,89.25,0.17,53.01,2020-11-02
上证商业-择时,30.12,-45.08,-37.64,198.83,34.50,17,9,28.01,1.08,953,1.79,26.65,83.53,1.08,54.28,做空
上证地产,6.04,-77.31,-75.06,453.82,19.46,12,10,33.14,0.34,1859,2.12,-2.08,95.63,0.18,50.31,2020-11-02
上证地产-择时,6.66,-73.24,-43.80,172.35,11.48,12,10,33.14,0.36,1007,2.12,5.94,51.12,0.20,50.41,做空
上证公用,3.59,-72.78,-65.72,296.49,11.32,11,10,26.37,0.27,1314,1.69,-4.81,67.49,0.14,51.72,2020-11-02
上证公用-择时,15.32,-41.57,-33.88,191.68,20.73,9,11,26.34,0.67,811,1.69,10.67,70.35,0.58,52.49,做空
上证综合,3.24,-68.69,-68.69,192.99,8.21,11,10,25.53,0.25,1525,1.63,-3.47,65.54,0.13,49.92,2020-11-02
上证综合-择时,12.76,-38.92,-28.19,196.85,16.44,11,13,25.51,0.60,797,1.63,10.86,47.08,0.50,51.35,做空
上证380,2.10,-63.80,-51.28,207.41,6.88,10,8,25.82,0.21,874,1.65,0.79,40.60,0.08,53.81,2020-11-02
上证380-择时,6.50,-55.41,-41.09,124.27,7.80,10,8,25.81,0.37,222,1.65,1.89,40.59,0.25,51.74,做空
上证180,5.66,-72.28,-70.98,309.33,13.12,13,10,25.52,0.34,1522,1.63,-1.41,70.08,0.22,51.61,2020-11-02
上证180-择时,12.85,-41.46,-32.64,172.10,18.51,13,11,25.50,0.60,920,1.63,9.40,59.15,0.50,52.00,做空
上证基金,10.12,-58.72,-52.93,294.53,17.33,13,10,20.76,0.57,1694,1.33,3.24,68.93,0.49,50.20,2020-11-02
上证基金-择时,14.43,-33.15,-24.17,231.98,19.53,13,12,20.75,0.75,721,1.33,7.84,44.92,0.70,52.76,做空
上证国债,3.48,-10.42,-9.80,14.79,3.62,34,8,1.41,2.44,420,0.09,3.48,6.99,2.47,68.41,2020-11-02
上证国债-择时,4.48,-2.36,0.16,15.01,4.56,34,9,1.39,3.15,215,0.09,3.91,9.26,3.21,67.47,做空
上证企债,5.13,-12.32,-9.65,26.01,5.70,202,13,1.91,2.63,611,0.12,5.61,13.09,2.69,72.50,2020-11-02
上证企债-择时,7.06,-3.83,-0.42,25.30,7.14,202,10,1.88,3.63,195,0.12,6.28,11.75,3.75,73.71,做多
上证红利,6.23,-74.34,-72.28,338.66,18.40,12,11,27.17,0.36,290,1.74,0.37,89.16,0.23,52.28,2020-11-02
上证红利-择时,19.24,-32.03,-25.11,200.01,27.89,12,9,27.14,0.78,564,1.74,14.63,84.80,0.71,52.22,做空
上证50,7.28,-72.41,-71.54,316.73,17.58,19,9,26.57,0.40,622,1.70,1.68,80.69,0.27,50.83,2020-11-02
上证50-择时,6.83,-52.77,-44.23,152.07,12.15,16,12,26.57,0.38,1277,1.70,6.78,45.83,0.26,50.95,做空
上证中型企业,4.15,-71.02,-64.08,206.67,8.84,17,10,29.76,0.29,962,1.91,4.12,54.04,0.14,56.00,2020-11-02
