sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证综指,4.22,-71.98,-71.12,243.93,9.69,11,9,24.19,0.29,1331,1.55,-2.34,64.37,0.17,53.02
上证综指-择时,15.24,-28.43,-19.08,147.49,18.65,10,12,19.81,0.82,973,1.27,12.11,53.70,0.77,53.20
上证A股,4.15,-71.96,-71.10,243.73,9.62,11,9,24.20,0.29,1331,1.55,-2.34,64.34,0.17,52.98
上证A股-择时,14.92,-27.44,-18.06,144.32,18.48,10,12,19.50,0.81,973,1.25,11.90,52.03,0.77,52.78
上证B股,9.48,-78.58,-77.21,429.65,21.34,15,9,30.37,0.45,1822,1.94,-3.52,112.77,0.31,52.46
上证B股-择时,27.02,-30.45,-29.48,218.87,33.85,15,10,25.47,1.07,929,1.63,19.47,99.59,1.06,53.57
上证工业,4.89,-75.86,-74.09,301.59,11.27,14,8,24.94,0.32,1333,1.60,-1.68,64.84,0.20,52.89
上证工业-择时,16.98,-26.59,-23.55,150.31,20.75,14,12,20.50,0.87,464,1.31,11.27,65.36,0.83,53.19
上证商业,4.81,-74.81,-63.08,229.46,11.84,17,10,28.06,0.31,1740,1.80,-5.58,89.02,0.17,52.99
上证商业-择时,23.40,-43.53,-36.43,185.03,27.41,17,9,24.31,0.99,892,1.56,21.16,72.04,0.96,54.31
上证地产,6.15,-77.31,-75.06,453.82,19.42,12,10,33.12,0.35,1859,2.12,-2.01,95.39,0.19,50.35
上证地产-择时,5.53,-53.96,-42.40,96.11,8.15,12,10,24.38,0.34,1009,1.56,6.10,40.29,0.23,50.47
上证公用,3.77,-72.78,-65.72,296.49,11.27,11,10,26.35,0.27,1314,1.69,-4.84,67.40,0.14,51.73
上证公用-择时,11.60,-35.90,-26.07,122.13,14.21,9,11,20.27,0.64,930,1.30,9.69,45.27,0.57,52.25
上证综合,3.25,-68.69,-68.69,192.99,8.20,11,10,25.51,0.25,1525,1.63,-3.43,65.43,0.13,49.88
上证综合-择时,8.06,-30.97,-24.34,105.44,10.07,11,10,19.21,0.50,973,1.23,6.34,31.29,0.42,50.95
上证380,2.43,-63.80,-51.28,207.41,6.96,10,8,25.78,0.22,874,1.65,0.90,40.48,0.09,53.84
上证380-择时,5.71,-26.62,-21.90,91.94,7.24,12,8,15.26,0.44,740,0.98,1.91,29.12,0.37,51.53
上证180,5.78,-72.28,-70.98,309.33,13.12,13,10,25.50,0.35,1522,1.63,-1.32,70.01,0.23,51.58
上证180-择时,11.52,-29.58,-19.19,96.37,14.46,13,10,18.50,0.68,546,1.18,8.44,47.82,0.62,51.98
上证基金,10.22,-58.72,-52.93,294.53,17.32,13,10,20.75,0.57,1694,1.33,3.27,68.90,0.49,50.20
上证基金-择时,9.64,-30.14,-23.31,152.86,12.56,13,12,17.34,0.62,707,1.11,5.30,34.00,0.56,52.67
上证国债,3.47,-10.42,-9.80,14.79,3.62,34,8,1.40,2.44,420,0.09,3.49,6.99,2.47,68.36
上证国债-择时,2.28,-1.64,-0.74,10.35,2.31,30,9,0.90,2.50,342,0.06,1.76,6.10,2.52,65.18
上证企债,5.12,-12.32,-9.65,26.01,5.70,202,13,1.91,2.63,611,0.12,5.60,13.08,2.69,72.47
上证企债-择时,3.88,-1.54,-0.68,12.36,3.92,202,10,1.27,3.01,159,0.08,3.34,8.41,3.06,73.21
上证红利,6.65,-74.34,-72.28,338.66,18.35,12,11,27.14,0.37,290,1.74,0.37,88.87,0.25,52.35
