sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆一2101,2.70,-56.14,-31.33,75.39,2.69,14,8,17.16,0.24,911,1.10,-1.24,31.42,0.16,51.15
连豆一2101-择时,-2.37,-56.59,-33.13,44.97,-1.70,11,9,11.62,-0.15,819,0.74,-2.45,10.27,-0.20,49.37
沪白银2012,-5.65,-68.70,-43.37,46.93,-5.81,11,8,23.50,-0.13,72,1.50,-8.93,17.34,-0.24,49.13
沪白银2012-择时,0.52,-33.62,-17.72,24.42,-1.21,8,12,13.01,0.10,70,0.83,-0.60,10.12,0.04,47.75
沪铝2012,-2.81,-69.92,-44.32,52.46,-2.32,9,10,14.88,-0.12,477,0.95,-4.57,15.63,-0.19,49.88
沪铝2012-择时,3.82,-28.16,-19.16,35.14,4.22,10,10,10.00,0.42,1027,0.64,2.75,16.65,0.38,50.76
郑苹果101,1.19,-40.94,-34.78,59.28,9.72,6,10,25.69,0.17,148,1.64,10.98,41.29,0.05,47.13
郑苹果101-择时,17.77,-13.93,3.58,44.02,22.45,10,8,15.62,1.13,223,1.00,24.71,34.42,1.14,52.28
沪黄金2012,2.35,-48.30,-31.91,62.61,4.70,9,9,17.28,0.22,403,1.11,1.60,25.90,0.14,51.65
沪黄金2012-择时,3.01,-18.08,-16.53,49.80,3.31,8,12,10.38,0.34,601,0.66,0.28,14.22,0.29,49.72
连豆二2012,4.58,-35.17,-32.38,60.07,5.38,9,11,17.64,0.34,683,1.13,2.89,28.84,0.26,51.08
连豆二2012-择时,-1.94,-40.58,-19.67,26.38,-1.22,11,8,10.13,-0.14,873,0.65,-1.44,9.96,-0.19,50.71
连胶合板2012,14.62,-69.50,-68.49,321.66,23.31,9,7,38.33,0.55,901,2.45,16.75,92.49,0.38,52.23
连胶合板2012-择时,25.87,-21.49,-12.67,183.47,20.29,7,8,22.47,1.13,598,1.44,9.03,53.19,1.15,50.35
沪石油沥青2012,-16.88,-76.12,-55.07,45.82,-11.74,7,9,27.82,-0.53,1,1.78,-9.56,19.44,-0.61,49.97
沪石油沥青2012-择时,6.10,-33.22,-29.15,54.55,9.41,8,7,17.36,0.43,1006,1.11,8.99,33.54,0.35,50.03
连玉米2101,2.82,-33.27,-31.23,31.46,1.89,11,8,10.99,0.31,2659,0.70,2.23,13.85,0.26,50.54
连玉米2101-择时,2.66,-13.05,-9.61,16.28,2.08,9,10,7.09,0.41,934,0.45,1.46,8.29,0.38,49.62
郑棉花101,-3.81,-68.37,-39.88,116.95,-1.25,8,9,17.10,-0.14,1563,1.09,-8.02,34.84,-0.22,49.51
