sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
上证综指,4.09,-71.98,-71.12,243.93,9.68,11,9,24.21,0.29,1331,1.55,-2.40,64.49,0.17,53.02,2020-11-02
上证综指-择时,3.05,-22.15,-14.50,26.53,3.30,3,5,9.90,0.35,1660,0.63,2.49,14.56,0.31,50.29,做空
上证A股,4.03,-71.96,-71.10,243.73,9.61,11,9,24.21,0.28,1331,1.55,-2.40,64.37,0.17,52.98,2020-11-02
上证A股-择时,2.95,-22.17,-15.04,26.58,3.17,3,5,9.93,0.34,1615,0.64,2.44,13.41,0.30,50.35,做空
上证B股,9.37,-78.58,-77.21,429.65,21.39,15,9,30.40,0.45,1822,1.95,-3.49,112.81,0.31,52.48,2020-11-02
上证B股-择时,7.11,-28.36,-27.98,67.23,8.78,4,6,12.68,0.60,946,0.81,6.64,24.95,0.56,50.49,平仓
上证工业,4.70,-75.86,-74.09,301.59,11.25,14,8,24.95,0.31,1333,1.60,-1.81,64.86,0.19,52.87,2020-11-02
上证工业-择时,4.81,-28.54,-28.54,31.72,5.29,3,4,9.78,0.53,1796,0.63,4.96,16.31,0.49,54.08,平仓
上证商业,4.75,-74.81,-63.08,229.46,11.82,17,10,28.08,0.31,1740,1.80,-5.68,89.25,0.17,53.01,2020-11-02
上证商业-择时,7.44,-13.81,-11.74,51.32,7.84,3,6,10.54,0.73,511,0.67,6.69,20.01,0.71,53.31,做空
上证地产,6.04,-77.31,-75.06,453.82,19.46,12,10,33.14,0.34,1859,2.12,-2.08,95.63,0.18,50.31,2020-11-02
上证地产-择时,3.19,-26.80,-16.20,27.21,3.01,3,5,10.21,0.36,1948,0.65,2.38,15.78,0.31,49.15,做空
上证公用,3.59,-72.78,-65.72,296.49,11.32,11,10,26.37,0.27,1314,1.69,-4.81,67.49,0.14,51.72,2020-11-02
上证公用-择时,4.17,-45.83,-43.09,34.44,5.00,2,5,9.82,0.46,1953,0.63,5.34,16.71,0.42,51.95,做空
上证综合,3.24,-68.69,-68.69,192.99,8.21,11,10,25.53,0.25,1525,1.63,-3.47,65.54,0.13,49.92,2020-11-02
上证综合-择时,1.58,-31.55,-20.62,36.00,1.95,4,6,10.59,0.20,2666,0.68,1.42,11.11,0.15,49.46,做空
上证380,2.10,-63.80,-51.28,207.41,6.88,10,8,25.82,0.21,874,1.65,0.79,40.60,0.08,53.81,2020-11-02
上证380-择时,7.71,-13.70,-13.27,33.16,7.93,3,4,9.20,0.85,370,0.59,5.04,22.18,0.84,55.46,平仓
上证180,5.66,-72.28,-70.98,309.33,13.12,13,10,25.52,0.34,1522,1.63,-1.41,70.08,0.22,51.61,2020-11-02
上证180-择时,4.39,-19.48,-12.36,39.66,4.99,3,6,10.42,0.46,1463,0.67,3.64,16.87,0.42,51.39,做空
上证基金,10.12,-58.72,-52.93,294.53,17.33,13,10,20.76,0.57,1694,1.33,3.24,68.93,0.49,50.20,2020-11-02
上证基金-择时,0.36,-30.50,-20.96,19.42,0.66,3,6,8.35,0.08,926,0.53,1.07,9.48,0.04,49.28,做空
上证国债,3.48,-10.42,-9.80,14.79,3.62,34,8,1.41,2.44,420,0.09,3.48,6.99,2.47,68.41,2020-11-02
上证国债-择时,0.47,-2.34,-1.33,3.20,0.46,3,5,0.69,0.69,272,0.04,0.28,1.80,0.69,54.45,平仓
上证企债,5.13,-12.32,-9.65,26.01,5.70,202,13,1.91,2.63,611,0.12,5.61,13.09,2.69,72.50,2020-11-02
上证企债-择时,1.05,-1.59,-1.38,7.42,1.02,3,5,1.05,1.00,871,0.07,0.36,4.72,1.00,56.21,平仓
上证红利,6.23,-74.34,-72.28,338.66,18.40,12,11,27.17,0.36,290,1.74,0.37,89.16,0.23,52.28,2020-11-02
上证红利-择时,3.39,-17.16,-11.63,37.85,4.12,3,5,9.96,0.38,1708,0.64,1.95,14.17,0.34,51.60,做空
上证50,7.28,-72.41,-71.54,316.73,17.58,19,9,26.57,0.40,622,1.70,1.68,80.69,0.27,50.83,2020-11-02
上证50-择时,2.85,-35.97,-29.15,35.52,3.08,2,4,10.92,0.31,2404,0.70,2.16,15.79,0.26,49.84,做空
上证中型企业,4.15,-71.02,-64.08,206.67,8.84,17,10,29.76,0.29,962,1.91,4.12,54.04,0.14,56.00,2020-11-02
