sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
连豆一2101,2.99,-56.14,-31.33,75.39,2.81,14,8,17.16,0.26,911,1.10,-1.20,31.83,0.17,51.19,2020-11-16
连豆一2101-择时,-2.98,-48.71,-23.97,17.04,-2.92,3,5,7.64,-0.36,12,0.49,-3.17,7.71,-0.39,47.30,平仓
沪白银2012,-5.25,-68.70,-43.37,46.93,-5.72,11,8,23.60,-0.11,72,1.51,-8.89,17.31,-0.22,49.24,2020-11-16
沪白银2012-择时,3.13,-20.95,-20.59,24.09,3.74,3,5,10.49,0.35,840,0.67,4.68,16.67,0.30,46.23,平仓
沪铝2012,-2.40,-69.92,-44.32,52.46,-2.28,9,10,14.89,-0.09,477,0.95,-4.54,15.73,-0.16,49.93,2020-11-16
沪铝2012-择时,0.23,-17.14,-11.40,21.73,0.23,3,4,5.87,0.07,1215,0.38,-0.44,7.60,0.04,48.87,做多
郑苹果101,0.85,-43.01,-34.78,59.28,8.82,6,10,25.64,0.16,148,1.64,10.05,41.25,0.03,47.02,2020-11-16
郑苹果101-择时,-8.01,-33.97,-30.39,10.46,-12.28,2,4,14.67,-0.50,106,0.94,-15.25,0.42,-0.55,40.64,平仓
沪黄金2012,2.34,-48.30,-31.91,62.61,4.74,9,9,17.28,0.22,403,1.11,1.64,25.86,0.14,51.64,2020-11-16
沪黄金2012-择时,2.67,-10.82,-6.76,15.69,2.28,3,6,5.15,0.54,1256,0.33,2.06,8.85,0.52,51.83,做多
连豆二2102,4.62,-35.17,-32.38,60.07,5.40,9,11,17.68,0.34,683,1.13,2.94,28.82,0.26,51.06,2020-11-16
连豆二2102-择时,0.01,-22.82,-17.32,27.91,0.94,3,5,7.77,0.04,1585,0.50,0.17,9.53,0.00,49.07,平仓
连胶合板2012,17.00,-69.50,-68.49,321.66,23.95,9,7,38.53,0.61,901,2.47,17.88,98.93,0.44,52.32,2020-11-16
连胶合板2012-择时,1.96,-35.79,-28.32,29.83,2.04,3,4,13.40,0.21,177,0.86,1.07,16.29,0.15,50.21,平仓
沪石油沥青2012,-16.55,-76.12,-55.07,45.82,-11.85,7,9,27.83,-0.51,1,1.78,-9.75,19.43,-0.59,50.03,2020-11-16
沪石油沥青2012-择时,3.54,-17.52,-13.55,32.33,4.75,3,4,12.83,0.34,739,0.82,3.47,16.51,0.28,48.80,平仓
连玉米2101,2.67,-33.27,-31.23,31.46,1.96,11,8,11.00,0.29,2659,0.70,2.28,14.00,0.24,50.54,2020-11-16
连玉米2101-择时,-0.58,-28.42,-14.74,25.89,-0.53,3,5,6.22,-0.06,261,0.40,-1.35,6.38,-0.09,48.21,平仓
郑棉花101,-3.91,-68.37,-39.88,116.95,-1.25,8,9,17.10,-0.15,1563,1.09,-7.99,34.81,-0.23,49.47,2020-11-16
郑棉花101-择时,-0.09,-32.41,-14.89,21.83,-0.34,4,4,7.42,0.03,334,0.48,-0.75,6.44,-0.01,48.25,平仓
郑红枣101,3.84,-22.21,-17.43,18.09,-7.11,6,7,19.43,0.29,53,1.24,-9.38,3.25,0.20,49.72,2020-11-16
郑红枣101-择时,6.58,-7.49,-5.04,14.71,8.80,2,2,9.81,0.70,11,0.63,11.75,14.40,0.67,54.63,做多
连玉米淀粉2101,0.54,-32.09,-25.96,22.32,-1.01,6,7,14.40,0.11,29,0.92,-0.74,12.29,0.04,49.67,2020-11-16
连玉米淀粉2101-择时,1.92,-8.85,-6.40,11.80,1.43,3,4,5.64,0.37,192,0.36,0.57,9.13,0.34,54.07,平仓
沪铜2012,11.29,-60.61,-48.08,197.02,15.83,8,7,22.20,0.59,641,1.42,3.96,74.23,0.51,52.62,2020-11-16
沪铜2012-择时,0.56,-21.50,-15.87,27.07,0.42,3,6,6.45,0.12,1945,0.41,-0.12,7.04,0.09,50.29,平仓
郑棉纱101,-7.37,-38.11,-28.62,3.76,-10.76,8,6,16.73,-0.37,93,1.07,-11.17,1.09,-0.44,50.34,2020-11-16
郑棉纱101-择时,0.48,-13.34,-9.86,14.11,0.27,3,3,9.22,0.10,363,0.59,-0.50,8.68,0.05,47.03,平仓
连苯乙烯2101,-17.81,-46.11,-42.57,-7.11,-27.69,7,11,29.59,-0.52,NaN,1.89,-29.31,-12.19,-0.60,49.06,2020-11-16
连苯乙烯2101-择时,21.27,-7.48,22.10,24.09,23.89,2,3,16.19,1.28,22,1.04,24.09,24.09,1.31,50.85,平仓
连乙二醇2101,-23.28,-46.08,-36.82,-0.27,-17.67,6,9,24.18,-0.98,NaN,1.55,-17.32,-8.22,-0.96,48.91,2020-11-16
连乙二醇2101-择时,-6.24,-20.49,-16.91,-0.48,-11.71,2,5,9.23,-0.65,3,0.59,-12.85,-3.93,-0.68,45.71,平仓
连纤维板2101,13.41,-72.25,-62.58,245.49,38.22,12,8,35.47,0.53,338,2.27,18.31,128.21,0.38,49.80,2020-11-16
连纤维板2101-择时,3.14,-36.40,-17.86,66.52,6.04,2,5,16.37,0.27,1017,1.05,-0.69,48.62,0.19,46.51,平仓
郑玻璃101,9.18,-39.13,-29.01,56.47,8.75,8,10,19.92,0.54,913,1.27,8.09,33.30,0.46,51.77,2020-11-16
郑玻璃101-择时,-3.48,-39.62,-19.90,16.34,-4.28,4,4,9.08,-0.34,133,0.58,-6.48,9.71,-0.38,49.56,平仓
沪燃油2101,-7.55,-91.02,-66.55,131.85,-1.76,10,9,26.95,-0.16,387,1.73,-5.63,44.88,-0.28,51.76,2020-11-16
沪燃油2101-择时,-0.80,-45.02,-26.94,22.69,-0.24,3,5,9.85,-0.03,454,0.63,-0.47,12.22,-0.08,48.60,平仓
沪热轧卷板2101,13.48,-50.15,-41.21,157.85,20.73,12,9,23.85,0.65,627,1.53,14.79,71.39,0.57,51.65,2020-11-16
沪热轧卷板2101-择时,1.21,-25.92,-21.25,23.90,1.03,4,4,10.62,0.17,127,0.68,0.98,9.37,0.11,53.99,平仓
连铁矿石2101,15.21,-62.11,-49.83,177.86,26.64,9,8,32.11,0.60,751,2.06,25.86,85.01,0.47,51.03,2020-11-16
连铁矿石2101-择时,1.33,-24.02,-17.68,19.17,0.73,3,4,10.60,0.18,471,0.68,-1.23,11.97,0.13,52.40,平仓
中证2012,8.12,-51.03,-38.21,67.20,8.23,8,6,33.31,0.40,1234,2.13,6.70,39.18,0.24,52.98,2020-11-16
中证2012-择时,6.33,-12.84,-9.98,36.00,9.52,3,5,11.82,0.58,285,0.76,5.66,30.57,0.54,48.51,平仓
沪深2012,5.12,-45.89,-33.97,115.08,7.11,9,9,24.85,0.33,1019,1.59,3.64,31.55,0.21,50.27,2020-11-16
沪深2012-择时,-0.07,-39.60,-21.43,35.72,0.96,3,3,10.34,0.05,2125,0.66,-0.82,22.02,-0.01,50.50,平仓
上证2012,3.96,-44.52,-30.87,42.17,8.27,9,7,25.45,0.28,525,1.63,9.26,32.76,0.16,52.11,2020-11-16
上证2012-择时,7.40,-14.00,-11.53,34.60,9.35,3,3,10.71,0.72,372,0.69,3.42,31.40,0.69,50.38,平仓
连焦炭2101,3.20,-81.91,-46.14,264.10,13.39,16,9,27.13,0.25,1769,1.74,-7.35,115.42,0.12,49.64,2020-11-16
连焦炭2101-择时,2.74,-31.12,-25.75,24.28,3.05,3,7,11.66,0.29,154,0.75,4.82,14.48,0.23,51.33,平仓
连鸡蛋2101,-11.04,-64.55,-54.13,29.76,-7.55,10,9,20.23,-0.48,69,1.29,-6.95,14.68,-0.55,49.22,2020-11-16
连鸡蛋2101-择时,-4.39,-35.14,-16.66,12.46,-3.52,3,7,10.78,-0.36,463,0.69,-4.32,6.60,-0.41,49.32,做多
连焦煤2101,7.86,-60.38,-43.32,189.13,16.83,7,7,27.21,0.41,878,1.74,8.54,86.16,0.29,50.50,2020-11-16
连焦煤2101-择时,0.06,-34.41,-27.94,20.04,-0.25,2,5,9.75,0.05,614,0.62,-0.07,13.21,0.01,46.93,平仓
郑粳稻101,-5.61,-36.20,-23.35,18.00,-5.37,6,7,21.81,-0.16,60,1.40,-5.87,9.77,-0.26,46.07,2020-11-16
郑粳稻101-择时,-15.70,-40.07,-25.83,-4.32,-17.93,2,5,10.04,-1.65,7,0.64,-17.87,-13.64,-1.56,42.53,平仓
连聚乙烯2101,-0.41,-63.67,-55.50,102.65,0.03,9,13,21.87,0.09,54,1.40,0.46,21.29,-0.02,50.78,2020-11-16
连聚乙烯2101-择时,-2.79,-46.35,-16.94,17.02,-3.23,3,4,7.87,-0.32,6,0.50,-3.82,3.57,-0.35,48.13,平仓
郑晚籼稻011,-5.30,-34.69,-27.86,17.06,-14.88,5,9,22.61,-0.13,97,1.45,-18.15,-0.78,-0.23,46.80,2020-11-04
郑晚籼稻011-择时,-12.38,-29.56,-22.70,3.62,-11.87,2,3,9.80,-1.30,1,0.63,-10.18,1.03,-1.26,30.97,平仓
低硫燃料油2103,-27.36,-23.93,NaN,NaN,NaN,4,5,29.63,-0.94,1,1.90,NaN,NaN,-0.92,48.39,2020-11-16
低硫燃料油2103-择时,0.00,0.00,NaN,NaN,NaN,1,1,0.00,NaN,1,0.00,NaN,NaN,NaN,NaN,平仓
连豆粕2105,6.52,-45.60,-27.65,102.62,9.00,9,8,20.38,0.41,1030,1.30,6.38,31.65,0.32,50.99,2020-11-16
连豆粕2105-择时,-0.38,-29.64,-20.98,26.50,0.34,4,5,8.73,-0.00,279,0.56,0.69,8.32,-0.04,47.02,平仓
郑甲醇101,-6.10,-60.26,-42.32,58.18,-4.09,8,11,22.43,-0.17,1137,1.44,-6.90,28.62,-0.27,48.73,2020-11-16
郑甲醇101-择时,1.63,-21.62,-17.13,27.61,2.69,4,4,9.65,0.22,655,0.62,1.84,16.92,0.17,47.44,平仓
沪镍2102,-0.89,-43.98,-38.28,53.28,3.60,7,6,24.63,0.09,1056,1.58,1.57,24.93,-0.04,52.09,2020-11-16
沪镍2102-择时,1.21,-18.03,-16.53,16.26,2.47,3,4,7.99,0.19,317,0.51,2.74,11.87,0.15,53.80,平仓
20号胶2101,0.78,-30.21,-12.08,14.41,-4.11,5,8,26.65,0.16,47,1.71,-4.62,2.28,0.03,50.69,2020-11-16
20号胶2101-择时,-14.01,-21.33,-17.20,-4.81,-11.96,2,4,11.19,-1.30,20,0.72,-14.48,-5.54,-1.25,36.36,平仓
郑菜油101,0.19,-64.86,-52.33,55.23,-1.98,8,10,18.26,0.10,35,1.17,-2.97,19.24,0.01,50.09,2020-11-16
郑菜油101-择时,0.54,-17.15,-9.44,16.79,0.14,3,8,6.75,0.11,2161,0.43,-1.06,8.28,0.08,48.58,平仓
连棕油2101,-5.83,-81.00,-61.73,49.24,-6.08,13,9,22.02,-0.16,29,1.41,-10.78,26.01,-0.26,50.36,2020-11-16
连棕油2101-择时,0.05,-15.78,-15.05,11.94,0.27,3,4,6.99,0.04,1902,0.45,0.88,5.71,0.01,48.82,平仓
沪铅2012,-2.48,-46.32,-23.81,82.80,-0.25,11,10,17.36,-0.06,1374,1.11,-4.97,23.21,-0.14,49.29,2020-11-16
