sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
连豆一2101,2.99,-56.14,-31.33,75.39,2.81,14,8,17.16,0.26,911,1.10,-1.20,31.83,0.17,51.19,2020-11-16
连豆一2101-高阶择时,-1.33,-60.12,-39.23,48.42,-0.12,11,13,17.11,0.01,782,1.10,-1.09,20.79,-0.08,49.55,做空
沪白银2012,-5.25,-68.70,-43.37,46.93,-5.72,11,8,23.60,-0.11,72,1.51,-8.89,17.31,-0.22,49.24,2020-11-16
沪白银2012-高阶择时,-2.60,-53.89,-32.71,44.06,-3.34,8,11,22.26,-0.01,202,1.43,-4.81,13.30,-0.12,49.76,做多
沪铝2012,-2.40,-69.92,-44.32,52.46,-2.28,9,10,14.89,-0.09,477,0.95,-4.54,15.73,-0.16,49.93,2020-11-16
沪铝2012-高阶择时,4.22,-41.11,-25.75,45.29,5.28,10,8,14.85,0.35,1110,0.95,2.67,27.02,0.28,50.38,做多
郑苹果101,0.85,-43.01,-34.78,59.28,8.82,6,10,25.64,0.16,148,1.64,10.05,41.25,0.03,47.02,2020-11-16
郑苹果101-高阶择时,30.59,-27.59,-7.42,117.09,59.17,6,5,22.05,1.32,170,1.41,65.84,106.17,1.39,52.72,做空
沪黄金2012,2.34,-48.30,-31.91,62.61,4.74,9,9,17.28,0.22,403,1.11,1.64,25.86,0.14,51.64,2020-11-16
沪黄金2012-高阶择时,3.54,-47.87,-28.82,116.28,4.39,8,11,16.62,0.29,571,1.06,-2.44,25.02,0.21,49.71,做空
连豆二2102,4.62,-35.17,-32.38,60.07,5.40,9,11,17.68,0.34,683,1.13,2.94,28.82,0.26,51.06,2020-11-16
连豆二2102-高阶择时,-5.68,-71.13,-38.54,67.33,-3.54,9,11,17.35,-0.25,989,1.11,-6.36,22.28,-0.33,49.61,做空
连胶合板2012,17.00,-69.50,-68.49,321.66,23.95,9,7,38.53,0.61,901,2.47,17.88,98.93,0.44,52.32,2020-11-16
连胶合板2012-高阶择时,15.71,-51.71,-47.30,126.57,23.83,7,5,36.70,0.58,788,2.35,24.57,80.64,0.43,50.90,平仓
沪石油沥青2012,-16.55,-76.12,-55.07,45.82,-11.85,7,9,27.83,-0.51,1,1.78,-9.75,19.43,-0.59,50.03,2020-11-16
沪石油沥青2012-高阶择时,-4.99,-70.57,-47.86,98.08,5.36,9,9,27.53,-0.05,90,1.76,1.25,53.68,-0.18,49.31,做多
连玉米2101,2.67,-33.27,-31.23,31.46,1.96,11,8,11.00,0.29,2659,0.70,2.28,14.00,0.24,50.54,2020-11-16
连玉米2101-高阶择时,-1.64,-34.51,-22.12,31.70,-1.13,7,12,10.80,-0.10,639,0.69,-1.39,8.37,-0.15,48.90,做空
郑棉花101,-3.91,-68.37,-39.88,116.95,-1.25,8,9,17.10,-0.15,1563,1.09,-7.99,34.81,-0.23,49.47,2020-11-16
郑棉花101-高阶择时,-2.31,-58.40,-42.61,101.55,-0.69,8,11,16.80,-0.06,48,1.08,-1.83,15.79,-0.14,49.50,做空
郑红枣101,3.84,-22.21,-17.43,18.09,-7.11,6,7,19.43,0.29,53,1.24,-9.38,3.25,0.20,49.72,2020-11-16
郑红枣101-高阶择时,-1.54,-17.13,-11.86,0.66,-6.02,7,6,11.90,-0.07,28,0.76,-6.72,-1.79,-0.13,45.33,做空
连玉米淀粉2101,0.54,-32.09,-25.96,22.32,-1.01,6,7,14.40,0.11,29,0.92,-0.74,12.29,0.04,49.67,2020-11-16
连玉米淀粉2101-高阶择时,4.99,-17.54,-13.30,26.34,5.31,7,8,13.91,0.42,410,0.89,5.61,15.79,0.36,51.77,做空
沪铜2012,11.29,-60.61,-48.08,197.02,15.83,8,7,22.20,0.59,641,1.42,3.96,74.23,0.51,52.62,2020-11-16
沪铜2012-高阶择时,-3.17,-74.38,-37.63,166.76,0.25,9,10,22.10,-0.04,923,1.41,-6.75,31.64,-0.14,48.29,做多
郑棉纱101,-7.37,-38.11,-28.62,3.76,-10.76,8,6,16.73,-0.37,93,1.07,-11.17,1.09,-0.44,50.34,2020-11-16
郑棉纱101-高阶择时,-0.80,-32.14,-27.48,32.95,3.45,6,11,15.37,0.02,78,0.98,6.16,26.42,-0.05,48.57,做空
连苯乙烯2101,-17.81,-46.11,-42.57,-7.11,-27.69,7,11,29.59,-0.52,NaN,1.89,-29.31,-12.19,-0.60,49.06,2020-11-16
连苯乙烯2101-高阶择时,48.69,-6.03,10.97,55.87,29.86,7,3,17.41,2.37,35,1.11,27.50,48.64,2.80,53.85,做多
连乙二醇2101,-23.28,-46.08,-36.82,-0.27,-17.67,6,9,24.18,-0.98,NaN,1.55,-17.32,-8.22,-0.96,48.91,2020-11-16
连乙二醇2101-高阶择时,-6.72,-31.27,-28.25,11.22,-7.22,9,8,21.98,-0.21,28,1.41,-4.62,0.56,-0.31,46.11,做空
连纤维板2101,13.41,-72.25,-62.58,245.49,38.22,12,8,35.47,0.53,338,2.27,18.31,128.21,0.38,49.80,2020-11-16
连纤维板2101-高阶择时,39.65,-55.41,-39.85,422.85,74.01,10,8,34.58,1.14,553,2.21,35.54,292.73,1.15,51.52,做空
郑玻璃101,9.18,-39.13,-29.01,56.47,8.75,8,10,19.92,0.54,913,1.27,8.09,33.30,0.46,51.77,2020-11-16
郑玻璃101-高阶择时,-4.46,-40.49,-25.85,24.80,-4.05,10,9,19.14,-0.14,27,1.23,-5.19,9.57,-0.23,50.23,做多
沪燃油2101,-7.55,-91.02,-66.55,131.85,-1.76,10,9,26.95,-0.16,387,1.73,-5.63,44.88,-0.28,51.76,2020-11-16
沪燃油2101-高阶择时,-8.52,-84.58,-60.82,118.38,-1.63,10,12,26.50,-0.20,905,1.70,-6.45,39.89,-0.32,48.56,做空
沪热轧卷板2101,13.48,-50.15,-41.21,157.85,20.73,12,9,23.85,0.65,627,1.53,14.79,71.39,0.57,51.65,2020-11-16
沪热轧卷板2101-高阶择时,6.95,-56.09,-39.87,199.96,16.91,10,7,23.11,0.41,141,1.48,3.22,86.93,0.30,50.56,做多
连铁矿石2101,15.21,-62.11,-49.83,177.86,26.64,9,8,32.11,0.60,751,2.06,25.86,85.01,0.47,51.03,2020-11-16
连铁矿石2101-高阶择时,10.98,-37.25,-25.09,108.53,18.35,8,11,31.66,0.49,323,2.03,14.00,53.07,0.35,49.57,做多
中证2012,8.12,-51.03,-38.21,67.20,8.23,8,6,33.31,0.40,1234,2.13,6.70,39.18,0.24,52.98,2020-11-16
中证2012-高阶择时,3.79,-23.53,-17.18,41.72,5.46,6,7,23.58,0.28,495,1.51,3.31,21.48,0.16,49.87,做空
沪深2012,5.12,-45.89,-33.97,115.08,7.11,9,9,24.85,0.33,1019,1.59,3.64,31.55,0.21,50.27,2020-11-16
沪深2012-高阶择时,0.54,-49.26,-29.79,87.52,4.36,7,12,23.96,0.14,488,1.53,0.29,30.89,0.02,48.93,做空
上证2012,3.96,-44.52,-30.87,42.17,8.27,9,7,25.45,0.28,525,1.63,9.26,32.76,0.16,52.11,2020-11-16
上证2012-高阶择时,-7.90,-51.03,-35.55,20.68,-8.80,7,9,19.04,-0.34,33,1.22,-7.57,3.80,-0.41,47.75,做空
连焦炭2101,3.20,-81.91,-46.14,264.10,13.39,16,9,27.13,0.25,1769,1.74,-7.35,115.42,0.12,49.64,2020-11-16
连焦炭2101-高阶择时,26.71,-37.19,-19.93,179.90,33.05,11,7,26.69,1.02,227,1.71,22.35,93.63,1.00,51.01,做空
连鸡蛋2101,-11.04,-64.55,-54.13,29.76,-7.55,10,9,20.23,-0.48,69,1.29,-6.95,14.68,-0.55,49.22,2020-11-16
连鸡蛋2101-高阶择时,3.26,-45.33,-40.76,53.86,3.39,10,9,19.59,0.26,809,1.25,4.59,26.67,0.17,50.10,做空
连焦煤2101,7.86,-60.38,-43.32,189.13,16.83,7,7,27.21,0.41,878,1.74,8.54,86.16,0.29,50.50,2020-11-16
连焦煤2101-高阶择时,-6.38,-51.09,-35.43,64.47,-3.46,7,10,26.73,-0.11,950,1.71,-9.78,29.47,-0.24,49.55,做多
郑粳稻101,-5.61,-36.20,-23.35,18.00,-5.37,6,7,21.81,-0.16,60,1.40,-5.87,9.77,-0.26,46.07,2020-11-16
郑粳稻101-高阶择时,9.55,-21.08,-8.45,24.64,10.98,6,7,19.51,0.56,331,1.25,12.20,17.68,0.49,51.16,做空
连聚乙烯2101,-0.41,-63.67,-55.50,102.65,0.03,9,13,21.87,0.09,54,1.40,0.46,21.29,-0.02,50.78,2020-11-16
连聚乙烯2101-高阶择时,-5.38,-74.69,-44.72,75.35,-3.72,11,9,21.64,-0.15,135,1.39,-8.06,19.66,-0.25,48.06,做多
郑晚籼稻011,-5.30,-34.69,-27.86,17.06,-14.88,5,9,22.61,-0.13,97,1.45,-18.15,-0.78,-0.23,46.80,2020-11-04
郑晚籼稻011-高阶择时,-10.19,-38.68,-34.14,23.25,-10.88,8,8,21.93,-0.38,35,1.40,-10.63,3.53,-0.46,47.21,做多
连豆粕2105,6.52,-45.60,-27.65,102.62,9.00,9,8,20.38,0.41,1030,1.30,6.38,31.65,0.32,50.99,2020-11-16
连豆粕2105-高阶择时,4.94,-41.07,-26.91,118.88,6.71,10,11,20.16,0.34,1934,1.29,2.37,34.59,0.25,50.65,做空
郑甲醇101,-6.10,-60.26,-42.32,58.18,-4.09,8,11,22.43,-0.17,1137,1.44,-6.90,28.62,-0.27,48.73,2020-11-16
郑甲醇101-高阶择时,5.68,-51.34,-41.18,63.39,8.46,9,9,22.05,0.36,894,1.41,7.47,33.96,0.26,50.83,做多
沪镍2102,-0.89,-43.98,-38.28,53.28,3.60,7,6,24.63,0.09,1056,1.58,1.57,24.93,-0.04,52.09,2020-11-16
沪镍2102-高阶择时,25.06,-26.53,-26.53,111.27,33.06,7,6,22.81,1.10,241,1.46,30.83,71.76,1.10,53.04,做多
20号胶2101,0.78,-30.21,-12.08,14.41,-4.11,5,8,26.65,0.16,47,1.71,-4.62,2.28,0.03,50.69,2020-11-16
20号胶2101-高阶择时,9.92,-20.61,-12.20,16.15,-1.63,5,7,21.50,0.55,145,1.38,-5.68,13.66,0.46,52.87,做空
郑菜油101,0.19,-64.86,-52.33,55.23,-1.98,8,10,18.26,0.10,35,1.17,-2.97,19.24,0.01,50.09,2020-11-16
郑菜油101-高阶择时,3.86,-30.31,-23.37,41.65,5.73,10,10,17.84,0.30,1025,1.14,6.21,21.48,0.22,50.02,做空
连棕油2101,-5.83,-81.00,-61.73,49.24,-6.08,13,9,22.02,-0.16,29,1.41,-10.78,26.01,-0.26,50.36,2020-11-16
连棕油2101-高阶择时,2.83,-42.89,-27.13,53.91,3.92,8,9,21.12,0.24,250,1.35,0.86,26.25,0.13,49.39,做空
沪铅2012,-2.48,-46.32,-23.81,82.80,-0.25,11,10,17.36,-0.06,1374,1.11,-4.97,23.21,-0.14,49.29,2020-11-16
沪铅2012-高阶择时,-6.92,-60.22,-39.06,27.07,-5.54,9,8,16.35,-0.36,785,1.05,-5.62,14.05,-0.42,48.11,做多
