sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
上证综指,4.22,-71.98,-71.12,243.93,9.69,11,9,24.19,0.29,1331,1.55,-2.34,64.37,0.17,53.02,2020-11-16
上证综指-高阶择时,12.49,-48.13,-40.77,127.37,15.41,11,11,23.17,0.62,987,1.48,12.14,47.57,0.54,51.03,做空
上证A股,4.15,-71.96,-71.10,243.73,9.62,11,9,24.20,0.29,1331,1.55,-2.34,64.34,0.17,52.98,2020-11-16
上证A股-高阶择时,12.48,-46.61,-40.86,126.88,16.83,11,11,23.25,0.62,987,1.49,12.58,51.63,0.54,50.91,做空
上证B股,9.48,-78.58,-77.21,429.65,21.34,15,9,30.37,0.45,1822,1.94,-3.52,112.77,0.31,52.46,2020-11-16
上证B股-高阶择时,9.61,-51.99,-36.95,113.76,13.60,13,11,28.93,0.46,842,1.85,10.90,39.77,0.33,50.73,做多
上证工业,4.89,-75.86,-74.09,301.59,11.27,14,8,24.94,0.32,1333,1.60,-1.68,64.84,0.20,52.89,2020-11-16
上证工业-高阶择时,12.73,-59.51,-42.77,117.18,16.07,14,12,24.30,0.62,1123,1.56,14.28,47.53,0.52,51.32,做多
上证商业,4.81,-74.81,-63.08,229.46,11.84,17,10,28.06,0.31,1740,1.80,-5.58,89.02,0.17,52.99,2020-11-16
上证商业-高阶择时,12.07,-53.65,-45.96,99.76,16.13,17,15,26.49,0.56,735,1.70,16.75,50.57,0.46,51.24,做空
上证地产,6.15,-77.31,-75.06,453.82,19.42,12,10,33.12,0.35,1859,2.12,-2.01,95.39,0.19,50.35,2020-11-16
上证地产-高阶择时,6.37,-82.45,-72.26,193.19,13.11,12,11,31.18,0.35,1963,2.00,7.07,58.20,0.20,50.08,做空
上证公用,3.77,-72.78,-65.72,296.49,11.27,11,10,26.35,0.27,1314,1.69,-4.84,67.40,0.14,51.73,2020-11-16
上证公用-高阶择时,10.60,-60.69,-52.27,190.99,14.26,9,10,25.02,0.53,1128,1.60,11.19,40.30,0.42,51.55,做空
上证综合,3.25,-68.69,-68.69,192.99,8.20,11,10,25.51,0.25,1525,1.63,-3.43,65.43,0.13,49.88,2020-11-16
上证综合-高阶择时,3.71,-62.55,-41.75,64.67,5.66,10,10,24.50,0.27,1957,1.57,3.51,34.75,0.15,49.67,做空
上证380,2.43,-63.80,-51.28,207.41,6.96,10,8,25.78,0.22,874,1.65,0.90,40.48,0.09,53.84,2020-11-16
上证380-高阶择时,2.85,-47.35,-36.02,164.69,9.74,9,9,25.00,0.24,785,1.60,-0.91,61.91,0.11,50.34,做多
上证180,5.78,-72.28,-70.98,309.33,13.12,13,10,25.50,0.35,1522,1.63,-1.32,70.01,0.23,51.58,2020-11-16
上证180-高阶择时,13.67,-45.30,-38.76,130.75,17.65,13,11,23.96,0.65,725,1.53,12.19,57.89,0.57,51.05,做空
上证基金,10.22,-58.72,-52.93,294.53,17.32,13,10,20.75,0.57,1694,1.33,3.27,68.90,0.49,50.20,2020-11-16
上证基金-高阶择时,5.72,-66.40,-53.56,85.17,8.28,13,15,19.91,0.38,1531,1.27,3.62,39.43,0.29,50.71,做空
上证国债,3.47,-10.42,-9.80,14.79,3.62,34,8,1.40,2.44,420,0.09,3.49,6.99,2.47,68.36,2020-11-16
