sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
多空-弹簧策略-上证综指,16.89,-12.26,-8.80,62.94,19.97,12,15,7.43,2.14,360,0.48,13.46,50.13,2.27,54.42
多空-弹簧策略-沪深300,4.63,-10.80,-8.08,23.64,4.73,13,8,4.66,0.99,581,0.30,4.42,14.56,0.99,53.65
多空-弹簧策略-中证500,5.48,-16.41,-14.17,26.34,7.03,14,11,5.21,1.05,420,0.33,6.13,20.70,1.05,53.89
多空-弹簧策略-A股市场,24.02,-19.61,-13.43,119.91,29.84,13,10,8.17,2.68,202,0.52,20.60,82.55,2.94,57.78
多空-动量上涨加减速-上证综指,15.87,-15.13,-11.78,85.26,16.57,11,10,11.34,1.36,192,0.73,9.44,56.12,1.40,52.74
多空-动量上涨加减速-沪深300,7.89,-27.39,-24.54,85.69,9.78,14,11,15.97,0.56,611,1.02,5.09,42.37,0.49,51.79
多空-动量上涨加减速-中证500,7.78,-25.31,-14.73,99.24,9.79,11,9,12.86,0.65,1581,0.82,5.49,28.94,0.61,51.55
多空-动量上涨加减速-A股市场,11.82,-12.65,-11.50,61.37,12.42,15,12,9.16,1.27,231,0.59,8.22,33.89,1.29,53.47
多空-动量下跌加减速-上证综指,7.61,-24.60,-16.55,78.89,9.04,13,12,12.31,0.66,401,0.79,7.05,19.73,0.62,52.31
多空-动量下跌加减速-沪深300,3.21,-43.37,-29.49,54.88,3.65,11,12,16.19,0.28,814,1.04,3.05,26.21,0.20,50.56
多空-动量下跌加减速-中证500,6.56,-33.07,-24.77,42.48,8.46,13,10,14.27,0.52,494,0.91,8.09,29.05,0.46,51.82
多空-动量下跌加减速-A股市场,10.00,-27.66,-12.91,72.25,11.30,14,12,9.71,1.03,545,0.62,6.29,24.93,1.03,54.70
