x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
沪深300,9.36,-46.70,-40.20,142.23,13.69,12,8,24.68,0.49,332,1.58,10.10,52.65,0.38,52.48
沪深300组合,8.53,-14.13,-1.38,29.59,9.43,12,8,8.38,1.02,230,0.54,7.59,20.41,1.02,53.90
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
中证500,8.63,-65.20,-45.28,186.55,11.68,12,7,28.49,0.43,112,1.82,3.04,53.57,0.30,54.60
中证500组合,7.10,-20.72,-6.25,34.15,7.34,8,8,10.07,0.73,342,0.64,5.75,18.43,0.71,53.96
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证50,9.10,-44.70,-38.02,131.04,14.34,19,10,25.11,0.47,336,1.61,11.79,51.75,0.36,50.83
上证50组合,6.33,-10.92,-5.47,23.98,7.11,8,7,7.52,0.85,287,0.48,6.41,16.76,0.84,51.30
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
上证综指,5.60,-52.30,-41.88,146.28,9.67,11,9,23.32,0.35,286,1.49,4.28,52.98,0.24,53.90
上证综指组合,11.34,-21.23,-6.41,43.49,11.90,12,9,10.67,1.06,205,0.68,8.81,32.24,1.06,56.67
