x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
,总计交易日,交易次数,盈利次数,亏损次数,平均盈利率%,平均亏损率%,成功率%,累计收益率%,最大回撤率%,年化收益率%,累计收益（无手续费）%,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆一0303合约,3139,3139,816,2323,0.398585730471205,-0.0968828455740871,25.9955399808856,168.478040459684,6.37866704870186,13.4181300143106,267.438550949897,7.99,-6.38,-4.81,33.37,8.45,5,27,4.70,1.66,448,0.30,7.78,16.93,1.70,26.00
沪白银1209合约,1381,1381,437,944,0.350158692861902,-0.101510036577386,31.643736422882,75.6243702513818,4.45274924261583,13.6901466783819,101.620073961795,10.53,-4.45,-2.13,24.17,8.77,6,18,5.56,1.83,273,0.36,8.34,20.94,1.90,31.67
沪铝0201合约,3396,3396,854,2542,0.368018395712712,-0.0826617979848393,25.1472320376914,179.277344362821,3.58088761889019,13.1976843612207,292.166746903953,7.67,-3.58,-1.92,41.82,7.91,6,30,4.58,1.64,317,0.29,5.58,14.28,1.67,25.15
沪黄金0806合约,2432,2432,715,1717,0.239749711647892,-0.0743758328638028,29.3996710526316,54.05964369322,2.8382064833057,5.55711797833265,96.4651281788972,4.39,-2.84,-1.42,16.61,4.44,5,19,3.16,1.37,490,0.20,3.15,11.67,1.39,29.37
连豆二0503合约,2614,2614,614,2000,0.528882467206346,-0.182552564727774,23.4889058913542,-35.6081352829032,54.1470066003233,-3.40552173707949,-16.3683632713921,-4.00,-54.15,-32.15,31.56,-2.23,6,29,8.27,-0.45,NaN,0.53,-0.90,10.43,-0.48,23.50
沪石油沥青1402合约,1033,1033,232,801,0.688209170345804,-0.164654650451685,22.458857696031,30.3002227757702,6.75490703818067,7.33306456335194,44.4756321235879,6.48,-6.75,-5.09,15.86,6.82,4,28,7.91,0.83,184,0.51,7.33,12.72,0.82,22.48
连玉米0501合约,3233,3233,831,2402,0.284023093441356,-0.0810701358060482,25.7036807918342,49.9790996125001,6.86780421470478,3.86476180115219,107.211500200399,3.11,-6.87,-6.81,12.34,2.95,5,21,3.39,0.92,583,0.22,2.50,8.60,0.92,25.71
郑棉花001合约,2959,2959,708,2251,0.406357135035026,-0.0918512614759577,23.9270023656641,121.653147676771,5.73464255653133,10.2782314698185,197.948520046015,6.79,-5.73,-5.26,30.74,7.20,6,22,4.72,1.42,346,0.30,5.77,17.70,1.44,23.94
连玉米淀粉1503合约,745,745,204,541,0.283563498322807,-0.106619562547145,27.3825503355705,-0.00158411178161622,5.62937328568527,-0.000531581134770542,7.73244458023747,-0.13,-5.63,-4.98,6.37,0.65,3,19,3.31,-0.02,464,0.21,-0.62,5.04,-0.04,27.28
