x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
度因子-全市场,8.92,-6.96,-3.74,23.35,9.03,17,9,5.02,1.73,201,0.32,9.04,16.03,1.78,55.34
度因子-中证500,3.06,-14.12,-13.15,23.84,3.43,12,10,6.06,0.53,617,0.39,3.51,11.40,0.50,52.37
度因子-沪深300,1.05,-19.14,-16.59,21.00,0.74,11,11,7.25,0.18,344,0.46,0.74,8.39,0.14,50.53
溢出因子-全市场,6.85,-11.08,-7.70,49.56,7.80,19,11,5.74,1.18,375,0.37,4.28,27.86,1.19,52.63
溢出因子-中证500,2.27,-16.09,-10.10,28.93,2.87,12,10,6.69,0.37,515,0.43,1.74,14.04,0.34,49.77
溢出因子-沪深300,1.77,-16.91,-11.52,45.21,2.75,11,11,7.24,0.28,1103,0.46,-1.60,19.13,0.24,50.42
修正度因子-全市场,13.83,-12.25,-2.90,30.83,13.48,15,11,6.09,2.16,173,0.39,13.31,20.48,2.27,55.95
修正度因子-中证500,8.33,-10.27,-6.94,29.88,8.39,12,10,6.95,1.19,289,0.44,8.48,18.55,1.20,52.67
修正度因子-沪深300,3.15,-21.67,-17.86,23.02,3.02,14,9,8.29,0.42,470,0.53,3.08,12.44,0.38,51.68
修正溢出因子-全市场,8.57,-13.78,-10.64,72.17,10.55,14,12,7.89,1.08,484,0.51,5.80,37.02,1.09,51.68
修正溢出因子-中证500,3.48,-30.53,-17.64,58.05,5.90,11,10,8.85,0.43,238,0.57,2.69,28.04,0.39,50.80
修正溢出因子-沪深300,0.42,-29.27,-13.43,46.54,1.88,11,10,9.23,0.09,529,0.59,-0.09,16.79,0.05,49.50
组合因子1-全市场,16.53,-10.71,-7.08,68.73,17.64,16,11,7.16,2.17,143,0.46,13.79,42.18,2.31,55.11
组合因子1-中证500,10.96,-23.24,-17.90,87.07,12.72,12,12,8.88,1.22,235,0.57,8.76,44.73,1.23,52.82
组合因子1-沪深300,2.84,-30.13,-19.85,63.48,4.53,10,14,11.09,0.31,619,0.71,1.71,24.30,0.26,51.15
修正反转因子-全市场,19.96,-13.28,-7.99,85.19,21.75,12,10,9.00,2.07,146,0.58,16.80,44.10,2.22,54.47
修正反转因子-中证500,14.06,-22.10,-19.48,98.83,16.54,15,10,11.39,1.21,157,0.73,12.58,47.72,1.23,52.21
修正反转因子-沪深300,5.87,-33.68,-24.01,64.53,7.91,11,9,12.26,0.53,194,0.78,6.99,29.92,0.48,51.87
