x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S51P1曲线,12.27,-52.38,-40.34,211.96,17.01,12,12,27.51,0.56,1263,1.76,11.47,53.34,0.45,52.15
S51P1对冲000905,9.27,-15.84,-9.09,36.41,9.74,17,11,12.54,0.77,340,0.80,8.20,23.43,0.74,51.29
S51P1对冲000300,8.08,-29.85,-18.04,89.31,9.90,11,11,16.05,0.56,621,1.03,5.19,36.74,0.50,52.66
S51P2曲线,14.88,-57.68,-41.60,282.86,19.83,14,9,30.49,0.61,1296,1.95,13.04,67.74,0.49,54.93
S51P2对冲000905,12.44,-23.99,-15.39,51.93,11.34,14,11,14.99,0.86,671,0.96,8.79,28.94,0.83,56.13
S51P2对冲000300,10.39,-44.37,-36.95,89.81,11.50,15,10,21.44,0.57,945,1.37,8.01,50.34,0.48,56.32
S51P3曲线,11.40,-62.61,-43.09,201.82,14.45,11,9,28.77,0.52,1244,1.84,8.19,58.20,0.40,52.05
S51P3对冲000905,8.82,-33.03,-23.27,48.32,8.22,17,13,12.52,0.74,482,0.80,7.15,27.66,0.70,52.72
S51P3对冲000300,6.91,-42.11,-34.60,76.31,7.79,14,15,19.45,0.44,955,1.25,3.32,38.02,0.36,54.21
重仓股方法择时,15.75,-51.28,-33.02,201.26,19.65,11,9,28.02,0.66,1213,1.79,13.15,69.28,0.56,52.25
重仓股方法择时-对冲300,12.83,-25.65,-23.27,68.80,12.58,17,13,12.46,1.03,482,0.80,11.09,39.12,1.03,52.80
