x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S52P2:dongfang-v1,26.94,-9.08,10.48,62.62,27.72,14,14,6.74,3.58,82,0.43,25.22,41.42,4.00,58.52
S52P2:dongfang-v2,35.81,-9.75,10.07,91.81,38.45,21,10,6.83,4.52,108,0.44,34.30,61.91,5.24,62.70
S52P2:equal,18.97,-6.41,-0.20,38.35,19.93,16,9,5.89,2.98,88,0.38,19.98,29.47,3.22,56.38
S52P2:guojun,27.84,-9.54,11.42,66.37,28.67,12,14,6.98,3.56,78,0.45,25.65,43.44,3.99,58.31
S52P2:icir,26.32,-8.50,9.49,65.07,27.67,13,14,6.56,3.60,65,0.42,24.84,43.03,4.01,58.52
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
策略曲线,18.65,-67.11,-53.64,238.24,20.04,14,10,34.63,0.67,529,2.22,12.01,73.27,0.54,56.52
000906,5.94,-71.76,-69.85,160.42,5.69,11,10,27.66,0.35,1847,1.77,2.37,47.14,0.21,53.36
000905,8.59,-72.42,-65.56,197.63,8.99,17,10,31.24,0.42,1679,2.00,2.37,55.16,0.27,55.61
对冲000906,13.08,-43.65,-37.94,88.36,16.32,15,13,15.79,0.86,224,1.01,16.51,47.04,0.83,56.30
对冲000905,9.96,-27.33,-22.78,65.72,12.50,16,10,9.94,1.01,240,0.64,11.97,35.21,1.00,53.31
