x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S53P2全行业IC加权-500股票池-多头,12.44,-47.08,-37.19,252.31,18.86,11,8,27.82,0.56,681,1.78,10.77,61.92,0.45,56.01
S53P2全行业IC加权-500股票池-指数对冲,10.18,-11.66,-8.39,45.41,11.14,12,9,5.72,1.72,169,0.37,9.22,30.43,1.78,54.56
S53P2全行业IC加权-300股票池-多头,6.37,-47.54,-42.01,207.80,10.90,10,9,24.94,0.37,893,1.60,3.00,55.32,0.26,52.34
S53P2全行业IC加权-300股票池-指数对冲,2.20,-20.83,-12.22,29.38,2.54,12,10,6.96,0.35,738,0.45,1.07,14.54,0.32,53.63
S53P2分行业IC加权-500股票池-多头,12.97,-48.74,-34.98,256.37,19.36,10,8,27.70,0.58,682,1.77,11.83,62.59,0.47,55.59
S53P2分行业IC加权-500股票池-指数对冲,10.68,-12.02,-9.87,42.78,11.65,11,9,5.46,1.89,108,0.35,9.03,29.92,1.96,55.09
S53P2分行业IC加权-300股票池-多头,9.18,-46.46,-41.51,211.31,13.89,11,9,24.52,0.48,1235,1.57,5.94,55.48,0.37,52.92
S53P2分行业IC加权-300股票池-指数对冲,4.84,-10.78,-8.49,31.81,5.41,13,9,6.07,0.81,310,0.39,4.11,16.49,0.80,55.13
S53P1IC加权-500股票池-做多,22.20,-50.29,-37.08,318.30,32.22,11,8,29.09,0.84,439,1.86,18.48,89.03,0.76,57.37
S53P1IC加权-500股票池-指数对冲,20.18,-19.09,-18.33,105.50,23.32,16,11,8.11,2.31,108,0.52,22.84,57.48,2.49,58.47
S53P1MHKQ加权-500股票池-做多,15.95,-47.95,-39.56,237.24,22.77,11,8,28.84,0.66,1261,1.85,12.40,73.32,0.55,56.77
S53P1MHKQ加权-500股票池-指数对冲,13.87,-19.03,-16.21,74.87,14.79,10,11,8.92,1.50,490,0.57,13.07,39.11,1.55,55.55
