x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S55CSI300,25.36,-15.91,-10.84,230.43,32.95,13,11,16.43,1.46,283,1.05,16.81,96.88,1.54,53.48
S55CSI50,21.06,-15.68,-9.86,157.64,24.43,12,10,16.35,1.25,601,1.05,12.65,93.92,1.29,52.66
S55CSI500,28.50,-20.75,-15.87,155.55,34.03,10,10,17.31,1.54,301,1.11,28.44,82.74,1.65,54.36
S55ETFetf300_min,16.96,-19.50,-1.21,66.26,25.65,8,9,12.73,1.30,236,0.81,20.17,55.39,1.33,53.35
S55ETFetf500_min,17.89,-8.69,7.91,39.95,24.86,8,6,13.35,1.30,132,0.85,25.73,34.41,1.34,53.50
S55ETFetf50_min,24.08,-6.08,2.61,48.90,22.95,9,6,11.59,1.92,133,0.74,17.27,43.19,2.08,54.96
S55FWDZJIC,10.99,-19.63,-12.90,31.05,13.98,13,8,16.35,0.72,307,1.05,14.79,24.38,0.67,53.58
S55FWDZJIF,27.53,-22.38,-18.46,210.27,35.23,10,15,17.38,1.49,408,1.11,26.35,101.76,1.58,53.02
S55FWDZJIH,2.60,-26.02,-16.51,19.46,0.10,10,8,11.79,0.28,16,0.75,-0.26,11.87,0.22,49.23
