x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S56P1-static300对冲000300,7.98,-7.01,-3.73,30.81,8.58,16,10,4.59,1.70,173,0.29,6.13,17.95,1.74,55.33
S56P1-dynamic300对冲000300,5.86,-4.44,-2.56,20.50,6.27,13,10,3.32,1.73,241,0.21,5.38,12.08,1.77,55.48
S56P1-static500对冲000905,17.54,-4.24,1.67,69.89,18.79,12,9,4.68,3.48,128,0.30,15.97,42.88,3.74,59.40
S56P1-dynamic500对冲000905,11.78,-3.46,1.04,27.71,12.00,17,9,3.26,3.44,140,0.21,11.64,22.19,3.62,59.94
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
comb_ls_rtn,43.95,-3.17,17.06,200.17,49.97,42,5,6.30,5.82,31,0.40,33.51,120.26,6.97,67.84
comb_lo_rtn,26.57,-51.43,-45.31,375.45,38.53,11,9,29.28,0.95,284,1.87,20.35,136.87,0.91,57.52
comb_so_rtn,-21.17,-93.68,-62.67,152.32,-17.35,9,9,30.34,-0.63,734,1.94,-23.87,14.07,-0.70,51.57
pct_netMoneyInflow_lo_relative_cum_rtn,15.77,-37.46,-29.65,160.15,20.98,13,7,16.57,0.97,132,1.06,9.32,68.51,0.95,57.62
qoq_netMoneyInflow_lo_relative_cum_rtn,14.41,-36.03,-31.68,151.75,18.58,16,9,16.57,0.90,155,1.06,10.00,63.62,0.87,57.71
pct_finVal_lo_relative_cum_rtn,16.36,-37.14,-33.51,196.75,23.18,16,9,17.19,0.97,155,1.10,8.08,83.09,0.95,57.81
qoq_finVal_lo_relative_cum_rtn,15.06,-40.53,-34.84,145.36,19.43,16,7,16.88,0.92,112,1.08,11.23,65.58,0.89,58.32
comb_lo_relative_cum_rtn,20.26,-34.01,-30.38,195.95,26.77,16,9,16.66,1.19,112,1.07,12.22,85.35,1.22,58.51
pct_netMoneyInflow_so_rtn,-17.57,-92.15,-60.38,178.33,-13.74,9,9,30.22,-0.49,725,1.93,-20.91,19.46,-0.58,52.09
pct_netMoneyInflow_lo_rtn,21.81,-53.80,-46.94,324.96,31.75,11,9,29.32,0.82,286,1.88,16.59,112.84,0.74,56.68
pct_netMoneyInflow_ls_rtn,32.64,-3.38,8.11,136.12,36.87,19,7,6.21,4.58,68,0.40,26.96,76.45,5.26,63.15
qoq_netMoneyInflow_so_rtn,-14.51,-90.62,-61.31,178.10,-10.44,9,9,30.17,-0.37,712,1.93,-17.43,23.71,-0.48,52.23
qoq_netMoneyInflow_lo_rtn,20.34,-52.05,-44.73,334.64,29.23,11,9,29.45,0.78,323,1.89,14.84,108.98,0.69,56.77
qoq_netMoneyInflow_ls_rtn,26.46,-3.87,3.38,109.34,29.37,19,10,5.73,4.13,109,0.37,21.29,68.83,4.62,61.93
pct_finVal_so_rtn,-17.72,-91.71,-62.26,154.25,-14.32,10,9,30.07,-0.50,726,1.92,-19.48,15.17,-0.59,52.56
pct_finVal_lo_rtn,22.44,-53.65,-45.36,378.97,34.95,11,9,29.63,0.83,289,1.90,15.52,135.69,0.76,56.54
pct_finVal_ls_rtn,33.64,-6.56,1.75,166.11,40.22,40,7,7.26,4.04,69,0.46,26.15,104.28,4.64,62.92
qoq_finVal_so_rtn,-15.29,-89.86,-57.41,163.78,-11.51,9,9,30.14,-0.40,725,1.93,-18.70,21.42,-0.51,51.99
qoq_finVal_lo_rtn,21.05,-56.12,-48.32,348.50,30.65,11,9,29.53,0.80,338,1.89,15.61,112.71,0.71,56.73
qoq_finVal_ls_rtn,28.36,-4.10,2.70,106.35,30.37,18,7,6.15,4.10,74,0.39,22.13,68.61,4.61,62.07
