x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S57lasso-上证综指股票池-long-short,65.76,-26.36,0.11,221.92,68.78,11,9,23.43,2.28,107,1.50,59.78,121.67,2.81,55.94
S57lasso-500股票池-long-short,29.48,-20.16,-15.30,139.00,33.62,10,12,18.81,1.47,225,1.20,26.38,85.31,1.57,53.50
S57lasso-300股票池-long-short,2.68,-42.38,-26.89,66.84,4.04,8,10,17.60,0.24,377,1.13,-1.87,36.59,0.15,49.48
S57adaboost-上证综指股票池-long-short,70.24,-37.79,-28.39,214.79,75.81,16,11,21.98,2.53,281,1.41,78.63,126.32,3.20,56.81
S57adaboost-500股票池-long-short,17.93,-52.41,-47.53,88.00,18.25,12,10,19.25,0.95,673,1.23,19.56,58.73,0.93,52.11
S57adaboost-300股票池-long-short,10.82,-40.43,-29.38,54.45,8.48,14,10,19.29,0.63,491,1.23,9.25,33.01,0.56,50.47
S57adaboost-week-上证综指股票池-long-short,54.39,-40.08,-32.61,179.16,61.82,11,11,23.37,1.98,148,1.50,57.20,121.56,2.33,56.76
S57adaboost-week-500股票池-long-short,14.03,-64.19,-59.76,100.16,20.00,12,12,20.49,0.74,788,1.31,25.65,56.78,0.68,52.46
S57adaboost-week-300股票池-long-short,7.42,-40.60,-23.78,120.02,12.31,10,14,18.43,0.48,531,1.18,6.80,40.72,0.40,50.37
