x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
股指期货回测,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
沪深300股指期货,7.77,-4.91,-3.71,26.61,8.13,2,2,6.10,1.26,293,0.39,6.75,19.00,1.27,63.69
中证500股指期货,2.05,-14.98,-13.27,9.15,0.16,2,3,10.32,0.25,25,0.66,1.43,5.85,0.20,47.71
上证50股指期货,3.02,-5.47,-4.04,12.21,2.29,3,3,5.56,0.56,229,0.36,2.08,8.03,0.54,53.33
国债,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
2年期国债期货,0.32,-0.52,-0.37,1.29,0.55,8,7,0.65,0.49,357,0.04,0.77,1.04,0.49,51.52
5年期国债期货,0.43,-6.46,-4.36,7.10,0.39,10,8,2.57,0.18,335,0.16,0.10,3.65,0.17,49.66
10年期国债期货,-0.29,-7.91,-7.36,4.76,-0.14,13,9,3.94,-0.05,265,0.25,0.17,3.50,-0.07,50.17
郑商所,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
郑苹果101,8.88,-4.21,2.02,16.80,10.68,3,1,6.43,1.36,109,0.41,10.52,14.41,1.38,61.76
郑棉花101,1.05,-33.59,-20.66,46.41,1.85,4,3,8.08,0.17,1481,0.52,1.64,13.33,0.13,47.58
郑红枣101,-0.74,-11.31,-8.78,2.45,-4.71,2,3,8.21,-0.05,80,0.53,-5.16,-1.17,-0.09,51.22
郑棉纱101,2.08,-6.08,-3.14,8.32,2.42,2,2,4.63,0.47,423,0.30,1.73,6.47,0.45,53.72
郑玻璃101,6.75,-9.05,-7.37,29.02,6.91,2,3,5.53,1.21,399,0.35,5.78,17.48,1.22,56.61
郑粳稻101,-0.18,-6.44,-5.36,1.78,-0.56,3,2,2.34,-0.07,59,0.15,0.00,0.38,-0.08,51.72
郑晚籼稻011,0.54,-3.20,-2.71,7.33,1.13,2,2,2.75,0.21,724,0.18,0.00,4.84,0.20,54.17
郑甲醇101,8.46,-4.43,-1.27,19.97,8.75,3,2,5.45,1.52,181,0.35,8.85,15.87,1.55,56.04
郑菜油101,-0.71,-37.35,-24.93,25.92,0.07,4,3,9.70,-0.02,1,0.62,0.50,11.54,-0.07,53.20
郑普麦107,-0.07,-2.42,-2.28,2.46,0.16,1,1,1.44,-0.04,646,0.09,0.00,2.46,-0.05,48.00
郑菜籽粕101,7.22,-14.51,-13.20,44.67,7.83,2,3,6.05,1.18,333,0.39,6.28,29.25,1.19,55.77
郑油菜籽011,-0.04,-13.66,-13.66,11.14,-0.76,3,2,4.58,0.01,1156,0.29,-1.10,5.24,-0.01,51.39
郑纯碱101,9.12,-6.16,NaN,NaN,NaN,1,3,9.61,0.96,122,0.62,NaN,NaN,0.95,44.74
郑硅铁101,0.94,-19.07,-11.68,24.41,3.23,2,4,7.53,0.16,415,0.48,-0.52,17.46,0.13,49.11
郑锰硅101,-0.05,-28.02,-27.56,42.18,1.85,2,3,8.53,0.04,704,0.55,-0.14,25.09,-0.01,51.15
郑白糖101,3.00,-15.44,-9.79,29.33,3.63,3,4,6.34,0.50,1085,0.41,3.01,9.32,0.47,51.61
郑PTA101,1.38,-35.08,-22.82,32.34,1.60,3,3,6.74,0.24,744,0.43,1.38,15.07,0.20,50.07
郑尿素101,-5.84,-11.32,-7.30,-4.20,-6.01,2,2,7.61,-0.76,35,0.49,-6.26,-4.59,-0.77,38.89
郑强麦101,1.76,-11.91,-8.64,12.07,1.96,3,5,4.35,0.42,1413,0.28,1.71,7.79,0.40,52.33
郑动力煤101,4.90,-11.17,-6.45,22.40,4.94,3,2,5.54,0.89,443,0.35,5.24,13.06,0.88,56.80
大商所,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆一2101,1.47,-22.71,-16.90,39.56,1.64,4,5,7.59,0.23,623,0.49,0.42,11.88,0.19,53.91
连豆二2012,-1.97,-10.21,-6.42,2.92,-2.28,2,3,5.12,-0.36,1,0.33,-3.28,1.20,-0.39,52.27
连玉米2101,0.35,-15.99,-10.85,13.50,1.16,4,3,4.49,0.10,654,0.29,0.62,7.45,0.08,48.11
连玉米淀粉2101,-7.16,-38.48,-27.15,6.64,-7.31,2,3,6.54,-1.10,37,0.42,-7.73,2.91,-1.09,43.10
连苯乙烯2101,-33.45,-28.94,NaN,NaN,NaN,2,3,16.21,-2.44,1,1.04,NaN,NaN,-2.06,42.59
连乙二醇2101,4.48,-5.43,4.31,13.72,9.23,3,3,6.91,0.67,116,0.44,9.03,12.31,0.65,53.61
连铁矿石2101,6.13,-10.30,-8.14,26.02,7.35,2,2,8.58,0.74,166,0.55,6.50,16.31,0.71,51.96
连焦炭2101,10.74,-5.13,-1.36,29.24,11.34,4,2,5.56,1.86,255,0.36,11.00,22.32,1.93,63.09
连鸡蛋2101,5.53,-15.78,-12.50,27.46,5.98,3,2,7.48,0.76,879,0.48,6.84,22.10,0.74,52.09
连焦煤2101,1.79,-14.52,-9.52,15.61,1.72,2,3,7.50,0.27,1227,0.48,0.09,10.88,0.24,50.63
连聚乙烯2101,5.08,-6.89,-4.09,20.27,4.50,3,3,6.80,0.76,725,0.44,3.53,12.18,0.75,55.21
连豆粕2101,3.14,-12.48,-9.29,20.05,3.32,4,4,7.01,0.48,713,0.45,2.81,10.45,0.45,53.60
连棕油2101,4.14,-18.35,-11.55,35.61,1.87,5,4,7.07,0.61,2540,0.45,0.81,11.71,0.58,53.18
连聚丙烯2101,5.30,-8.22,-4.81,31.92,6.81,4,3,6.35,0.85,463,0.41,3.99,21.71,0.83,55.23
连粳米2012,-0.53,-2.73,NaN,NaN,NaN,2,1,2.69,-0.19,37,0.17,NaN,NaN,-0.20,50.00
连PVC2101,-0.79,-28.57,-19.13,29.29,-0.07,3,3,7.94,-0.06,24,0.51,-0.49,9.00,-0.10,49.83
连豆油2101,1.55,-29.43,-16.57,30.78,1.67,3,4,6.76,0.26,200,0.43,-0.69,17.40,0.23,49.53
上商所,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
沪白银2012,2.34,-11.73,-6.64,13.50,2.04,3,4,7.01,0.37,492,0.45,1.49,7.06,0.33,52.68
沪铝2012,-0.37,-18.96,-12.05,19.10,0.03,3,3,6.48,-0.02,1065,0.41,0.11,6.89,-0.06,51.70
沪黄金2012,-1.86,-52.72,-25.79,21.25,-2.32,5,4,11.47,-0.11,27,0.73,-1.58,12.18,-0.16,48.81
沪石油沥青2012,7.09,-10.66,-8.69,24.87,11.05,2,2,9.47,0.77,401,0.61,12.36,20.47,0.75,60.70
沪铜2012,-0.90,-48.09,-25.83,35.14,-0.40,3,3,9.01,-0.05,536,0.58,-0.94,11.71,-0.10,47.97
沪燃油2101,3.19,-13.65,-12.84,21.82,4.54,3,3,8.18,0.43,486,0.52,5.26,13.71,0.39,52.31
沪热轧卷板2101,5.83,-9.09,-6.77,23.51,7.19,4,3,7.40,0.80,301,0.47,6.33,19.18,0.79,59.16
沪镍2012,7.18,-18.11,-16.18,31.54,8.64,4,3,8.18,0.89,555,0.52,8.69,26.64,0.88,59.32
沪铅2012,2.67,-21.21,-18.32,28.63,4.34,3,5,7.12,0.41,427,0.46,4.02,19.33,0.38,54.37
沪螺钢2101,4.53,-27.54,-13.80,30.28,3.33,4,4,6.57,0.71,2272,0.42,2.26,21.58,0.69,54.10
沪天胶2101,3.96,-39.16,-24.82,30.19,4.70,4,2,9.17,0.47,1677,0.59,4.30,19.10,0.43,54.87
沪锡2101,-0.97,-12.86,-8.02,13.89,-1.52,3,3,5.34,-0.16,137,0.34,-3.55,7.07,-0.18,53.30
沪纸浆2012,-4.73,-14.97,-14.97,3.02,-7.47,2,4,6.54,-0.71,30,0.42,-8.13,0.81,-0.72,45.53
沪锌2012,-6.33,-101.60,-158735.85,51132.70,111.16,3,3,4923.59,-0.27,1,315.20,-7.18,319.65,-0.00,48.56
